Compensation of Government Employees (in period in which work was performed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Millions of current dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,
Federal Government," 122,163 "," 175,435 "," 215,788 "," 228,555 "," 256,305 "," 362,369 "," 462,215 "," 470,599 "," 468,337 "," 458,280 "," 462,703 "," 471,073 ",,,,,,,,,,,,,,,,,,
Military," 42,251 "," 67,400 "," 79,957 "," 70,995 "," 74,433 "," 126,823 "," 163,215 "," 164,512 "," 162,713 "," 157,190 "," 153,703 "," 150,594 ",,,,,,,,,,,,,,,,,,
Non-Military," 79,912 "," 108,035 "," 135,831 "," 157,560 "," 181,872 "," 235,546 "," 299,000 "," 306,087 "," 305,624 "," 301,091 "," 308,999 "," 320,479 ",,,,,,,,,,,,,,,,,,
State and Local Government," 205,841 "," 305,418 "," 460,634 "," 611,572 "," 795,590 "," 1,041,764 "," 1,261,260 "," 1,266,544 "," 1,274,955 "," 1,303,326 "," 1,341,161 "," 1,387,379 ",,,,,,,,,,,,,,,,,,
Education," 99,710 "," 146,981 "," 223,041 "," 296,781 "," 395,857 "," 515,257 "," 629,072 "," 631,041 "," 634,734 "," 649,676 "," 666,680 "," 689,010 ",,,,,,,,,,,,,,,,,,
Non-Education," 106,131 "," 158,438 "," 237,593 "," 314,791 "," 399,733 "," 526,507 "," 632,187 "," 635,503 "," 640,222 "," 653,650 "," 674,481 "," 698,368 ",,,,,,,,,,,,,,,,,,
Wages & Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 90,120 "," 128,151 "," 160,396 "," 173,700 "," 194,988 "," 263,484 "," 328,524 "," 331,668 "," 327,651 "," 320,404 "," 324,003 "," 329,664 ",,,,,,,,,,,,,,,,,,
Military," 29,817 "," 47,860 "," 58,276 "," 54,552 "," 57,960 "," 90,852 "," 113,544 "," 113,616 "," 112,089 "," 109,793 "," 107,962 "," 105,815 ",,,,,,,,,,,,,,,,,,
Non-Military," 60,303 "," 80,291 "," 102,120 "," 119,148 "," 137,028 "," 172,632 "," 214,980 "," 218,052 "," 215,562 "," 210,611 "," 216,041 "," 223,849 ",,,,,,,,,,,,,,,,,,
