Compensation of Government Employees (in period in which work was performed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,
Federal Government," 23,902 "," 33,258 "," 40,372 "," 50,487 "," 61,449 "," 87,003 "," 105,049 "," 108,433 "," 109,450 "," 108,700 "," 111,602 "," 113,512 ",,,,,,,,,,,,,,,,,,
Military," 19,127 "," 28,754 "," 35,301 "," 40,849 "," 48,114 "," 81,821 "," 102,073 "," 103,402 "," 103,970 "," 101,675 "," 102,537 "," 102,167 ",,,,,,,,,,,,,,,,,,
Non-Military," 27,537 "," 36,859 "," 44,101 "," 56,493 "," 69,311 "," 90,075 "," 106,748 "," 111,345 "," 112,610 "," 112,768 "," 116,736 "," 119,760 ",,,,,,,,,,,,,,,,,,
State and Local Government," 18,416 "," 26,928 "," 35,360 "," 44,096 "," 53,288 "," 66,068 "," 78,242 "," 79,682 "," 81,083 "," 82,557 "," 84,313 "," 86,912 ",,,,,,,,,,,,,,,,,,
Education," 18,992 "," 27,163 "," 35,675 "," 43,812 "," 52,279 "," 64,431 "," 76,847 "," 78,012 "," 77,843 "," 79,277 "," 81,851 "," 85,666 ",,,,,,,,,,,,,,,,,,
Non-Education," 17,906 "," 26,714 "," 35,069 "," 44,368 "," 54,326 "," 67,753 "," 79,681 "," 81,412 "," 84,574 "," 86,097 "," 86,895 "," 88,178 ",,,,,,,,,,,,,,,,,,
Wages & Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 17,633 "," 24,294 "," 30,009 "," 38,370 "," 46,749 "," 63,261 "," 74,665 "," 76,421 "," 76,572 "," 75,997 "," 78,148 "," 79,437 ",,,,,,,,,,,,,,,,,,
Military," 13,498 "," 20,418 "," 25,729 "," 31,388 "," 37,466 "," 58,614 "," 71,009 "," 71,412 "," 71,622 "," 71,017 "," 72,023 "," 71,788 ",,,,,,,,,,,,,,,,,,
Non-Military," 20,780 "," 27,394 "," 33,156 "," 42,721 "," 52,221 "," 66,016 "," 76,751 "," 79,320 "," 79,426 "," 78,881 "," 81,617 "," 83,651 ",,,,,,,,,,,,,,,,,,
State and Local Government," 15,330 "," 21,664 "," 27,532 "," 32,830 "," 39,169 "," 46,171 "," 53,509 "," 54,299 "," 55,367 "," 56,221 "," 57,377 "," 59,191 ",,,,,,,,,,,,,,,,,,
Education," 15,781 "," 21,846 "," 27,717 "," 32,550 "," 38,358 "," 44,958 "," 52,437 "," 53,046 "," 53,034 "," 53,862 "," 55,566 "," 58,197 ",,,,,,,,,,,,,,,,,,
Non-Education," 14,930 "," 21,498 "," 27,360 "," 33,098 "," 40,004 "," 47,419 "," 54,615 "," 55,598 "," 57,880 "," 58,768 "," 59,277 "," 60,201 ",,,,,,,,,,,,,,,,,,
Other Supplemental Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 1,124 "," 2,114 "," 3,906 "," 5,685 "," 7,576 "," 14,305 "," 17,298 "," 18,420 "," 18,864 "," 18,570 "," 18,973 "," 19,448 ",,,,,,,,,,,,,,,,,,
Military, 912 ," 1,394 "," 2,121 "," 2,451 "," 2,833 "," 12,176 "," 14,322 "," 14,681 "," 14,548 "," 12,763 "," 12,418 "," 12,295 ",,,,,,,,,,,,,,,,,,
Non-Military," 1,286 "," 2,689 "," 5,219 "," 7,700 "," 10,372 "," 15,566 "," 18,996 "," 20,585 "," 21,353 "," 21,933 "," 22,685 "," 23,389 ",,,,,,,,,,,,,,,,,,
State and Local Government," 1,509 "," 2,947 "," 4,275 "," 5,813 "," 7,134 "," 10,376 "," 12,835 "," 13,380 "," 13,644 "," 14,213 "," 14,865 "," 15,311 ",,,,,,,,,,,,,,,,,,
Promised Pension Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 5,145 "," 6,850 "," 6,457 "," 6,433 "," 7,125 "," 9,437 "," 13,087 "," 13,591 "," 14,014 "," 14,133 "," 14,481 "," 14,626 ",,,,,,,,,,,,,,,,,,
Military," 4,717 "," 6,942 "," 7,452 "," 7,010 "," 7,815 "," 11,031 "," 16,742 "," 17,309 "," 17,799 "," 17,895 "," 18,096 "," 18,084 ",,,,,,,,,,,,,,,,,,
Non-Military," 5,471 "," 6,777 "," 5,726 "," 6,072 "," 6,718 "," 8,493 "," 11,000 "," 11,440 "," 11,831 "," 11,954 "," 12,434 "," 12,721 ",,,,,,,,,,,,,,,,,,
State and Local Government," 1,578 "," 2,317 "," 3,553 "," 5,453 "," 6,985 "," 9,521 "," 11,898 "," 12,003 "," 12,072 "," 12,122 "," 12,071 "," 12,409 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Over or Under Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Pension Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government," 5,573 "," 9,700 "," 10,372 "," 12,608 "," 15,951 "," 20,441 "," 32,891 "," 34,406 "," 36,516 "," 37,921 "," 39,735 "," 41,173 ",,,,,,,,,,,,,,,,,,
