order,style,type,data_table,parent,row_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,"Billions of Dollars, Not Adjusted for inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,Revenues,518947,607188,621883,609705,672070,739119,773882,860754,914219,996174,1037870,1061436,1097640,1161649,1266105,1366490,1461543,1599711,1739427,1837859,2035813,2005622,1865806,1795989,1895221,2170474,2425762,2600783,2557455,2142059,2183895,2328751,2486917,2804500,3047497
6,,,,,,Tax Revenues,502098,583260,599472,583612,648581,715373,749500,835782,890963,970634,1007665,1035658,1068875,1140462,1241053,1328962,1432989,1559731,1697388,1801929,1992921,1965080,1832397,1762244,1864142,2138765,2381513,2540386,2495889,2076361,2091050,2225969,2370603,2700463,2912615
7,,,,,,Non-Tax Revenues,16849,23928,22411,26092,23489,23746,24383,24972,23256,25541,30206,25778,28765,21187,25052,37528,28554,39980,42039,35930,42892,40542,33409,33745,31079,31709,44249,60397,61566,65698,92845,102782,116314,104037,134882
8,,data_table,,,Spending By Function,Spending By Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,total_row,,Spending By Function,Total Spending,Spending,592777,686156,749860,817507,857438,951427,995109,1010483,1069397,1148813,1258906,1330674,1387961,1416700,1469291,1530442,1568974,1621595,1670157,1712249,1799572,1877386,2023564,2173574,2307948,2488820,2673943,2761484,3016008,3554747,3478268,3628341,3573880,3484044,3532124
10,,,,Spending By Function,Personnel and Compensation,Compensation for Personnel (past & present),117220,132586,144624,153621,163591,172180,180127,189193,202347,213025,226533,241021,250126,255242,258345,260853,263748,268997,274372,281576,295155,307453,329481,361905,387741,412494,432428,451477,471885,499401,521292,537028,533622,534214,539075
11,,,,Personnel and Compensation,Past Employees,Past Employees,27262,32082,35182,37448,39139,39637,42538,44737,48075,50489,53444,57566,59359,61894,64352,67494,69926,73390,75694,77495,79654,83385,86379,92475,96894,103040,109368,115654,121154,130937,132807,138511,135784,144300,148684
12,,,,Personnel and Compensation,Present Employees (employer payroll tax + wages/salaries + non-pension supplements),Present Employees (employer payroll tax + wages/salaries + non-pension supplements),93676,104488,113654,120602,129033,137302,142330,149171,158931,167082,177611,188023,195555,198153,198654,197909,198291,200025,203011,208554,220262,228781,247696,274061,295441,313913,327418,340081,354900,372607,392582,402552,401578,393478,393863
13,,,,Present Employees (employer payroll tax + wages/salaries + non-pension supplements),Civilian,Civilian,63058,68824,72884,76801,84390,87534,89405,94086,101311,107840,115003,122683,128860,133376,137421,138362,141130,142037,144826,149311,158986,163117,172837,183839,197477,207206,214452,227035,231854,243315,258247,266908,267324,263565,267157
14,,,,Present Employees (employer payroll tax + wages/salaries + non-pension supplements),Military,Military,30618,35664,40770,43801,44643,49768,52925,55086,57620,59243,62608,65340,66695,64777,61234,59548,57161,57988,58185,59243,61276,65664,74859,90222,97964,106707,112966,113046,123046,129292,134335,135644,134254,129913,126706
15,,,,Personnel and Compensation,Offset for Employee Contributions to Own Retirement/Disability Fund,Offset for Employee Contributions to Own Retirement/Disability Fund,-3719,-3984,-4212,-4429,-4580,-4759,-4742,-4715,-4658,-4546,-4522,-4568,-4788,-4805,-4661,-4550,-4469,-4418,-4333,-4473,-4761,-4713,-4594,-4631,-4594,-4459,-4358,-4258,-4169,-4143,-4097,-4035,-3740,-3564,-3472
16,,,,Spending By Function,Capital Expenditures,Capital Expenditures,40542,47881,56504,67408,78223,89973,96197,102519,100607,104805,105145,106184,102629,95242,83892,79339,75690,72150,68669,74705,81544,88804,97869,104222,111006,116823,126312,138661,161087,186606,195280,190631,182473,173040,154563
17,,,,Capital Expenditures,Defense,Defense,32486,39101,47960,59221,68229,77956,84663,89526,85698,90490,89700,89222,82359,76141,66730,59865,54961,52403,53545,53880,56056,61039,68342,74707,83610,89474,97268,107826,126311,139713,147215,141560,138077,126904,117067
18,,,,Capital Expenditures,Non-Defense,Non-Defense,8056,8780,8544,8187,9994,12017,11534,12993,14909,14315,15445,16962,20270,19101,17162,19474,20729,19747,15124,20825,25488,27765,29527,29515,27396,27349,29044,30835,34776,46893,48065,49071,44396,46136,37496
19,,,,Spending By Function,Transfer Payments to Individuals & Subsidies,Transfer Payments to Individuals,212611,248976,277246,310772,317680,351424,350226,365240,387181,414740,449324,494894,551690,592813,616262,655849,683548,718392,732405,738459,776216,827353,913917,998397,1031750,1102641,1198360,1270593,1384002,1584962,1741025,1786340,1773073,1830655,1889256
20,,,,Transfer Payments to Individuals,Social Security,Social Security,117065,137882,153917,168513,176053,186432,196547,205104,216808,230137,246349,266482,284918,301643,316676,332985,346820,362058,375830,386686,405867,429181,451886,470191,491263,518106,548880,580811,611349,676858,700050,724151,767069,807249,844342
21,,,,Social Security,Social Security (Old Age & Survivors),   Social Security (Old Age & Survivors),102067,121003,136454,150893,158256,167732,176949,184612,195331,207493,221926,239495,254466,267934,279710,292669,303539,316568,327936,336064,351432,370950,387463,400179,414788,433956,457726,483320,506625,561370,576578,595619,631362,667165,702494
22,,,,Social Security,Social Security (Disabled),   Social Security (Disabled),14998,16879,17463,17620,17797,18700,19598,20492,21477,22644,24423,26987,30452,33709,36966,40316,43281,45490,47894,50622,54435,58231,64423,70012,76475,84150,91154,97491,104724,115488,123472,128532,135707,140084,141848
23,,,,Transfer Payments to Individuals,Medicare,Medicare,33954,41267,49167,55498,60951,69649,74184,79913,85704,94300,107410,114219,129411,143147,159541,177074,191265,207308,210327,208470,215145,236882,252674,273060,295920,331280,372375,426893,445830,488349,510467,548466,537624,567947,584999
24,,,,Transfer Payments to Individuals,Unemployment Benefits,Unemployment Benefits,17139,19006,22570,30464,23808,21312,19281,18102,16090,16057,17511,25451,37701,36209,27145,21919,22958,21145,20094,21736,21139,28341,51207,55049,43128,33085,31876,33208,43424,119766,158263,118609,92282,68260,43504
25,,,,Transfer Payments to Individuals,SSI,SSI,5677,6422,6844,7881,7625,8654,9323,9933,11370,11503,11493,14668,17239,20343,23700,23685,23088,25512,26257,26845,29660,26027,29530,30594,31384,35436,34466,32930,38166,41525,44018,49719,44188,50308,51499
26,,,,Transfer Payments to Individuals,SNAP Benefits,SNAP Benefits,8705,10764,10262,11210,10829,10815,10651,10448,11152,11650,13793,17278,20193,21991,22752,22814,22392,19735,16468,15643,14787,15432,18120,21163,24417,28229,30012,30283,34384,49980,64753,71664,73569,76476,70446
27,,,,Transfer Payments to Individuals,EITC,EITC,1275,1318,1201,1213,1193,1100,1415,1410,2698,4002,4354,4885,7345,8781,10950,15244,19159,21856,23239,25632,26099,26123,27826,31961,33134,34559,36166,38274,40600,42418,54712,55652,54890,57513,60087
28,,,,Transfer Payments to Individuals,Veterans Benefits,Veterans Benefits,21063,22695,23831,24852,25276,25989,26440,26784,28367,29415,28671,31296,33158,34410,37288,37378,36718,39484,40829,42413,46413,45799,52261,57004,62113,69293,70551,73113,83799,94206,105654,121578,118521,133075,142255
29,,,,Transfer Payments to Individuals,Other,Other,7733,9622,9454,11141,11945,27473,12385,13546,14992,17676,19743,20615,21725,26289,18210,24750,21148,21294,19361,11034,17106,19568,30413,59375,50391,52653,74034,55081,86450,71860,103108,96501,84930,69827,92124
30,,,,Spending By Function,Grants to State and Local Governments,Grants to State and Local Governments,91385,94704,88134,92448,97553,105852,112331,108400,115342,121928,135325,154519,178065,193612,210596,224991,227811,234160,246128,267886,285874,318542,352895,388542,407512,428018,434099,443797,461317,537991,608390,606766,544569,546171,576967
31,,,,Grants to State and Local Governments,Medicaid and CHIP,Medicaid and CHIP,13957,16833,17391,18985,20061,22655,24995,27435,30462,34604,41103,52533,67827,75774,82034,89070,91990,95552,101234,108042,117921,129434,147650,160805,176231,181720,180625,190624,201426,250924,272771,274964,250534,265392,301472
32,,,,Grants to State and Local Governments,Transportation,Transportation,13022,13404,12110,13200,14988,17009,18318,16873,18043,18176,19174,19826,20556,22292,23633,25787,25957,26846,26144,28904,32222,36647,40998,41029,41471,43370,46683,47945,51216,55438,60981,60986,60749,60518,62260
33,,,,Grants to State and Local Governments,Other,Other,64406,64467,58633,60263,62504,66188,69018,64092,66837,69148,75048,82160,89682,95546,104929,110134,109864,111762,118750,130940,135731,152461,164247,186708,189810,202928,206791,205228,208675,231629,274638,270816,233286,220261,213235
34,,,,Spending By Function,Payments to Others for Goods & Services,Payments to Others for Goods & Services,78486,93244,98319,103450,89289,102520,120212,106520,112117,125334,158232,139608,106107,81078,97264,77276,77124,83912,107466,119868,137835,129068,158453,167435,209694,244858,256141,219848,284960,558885,216087,277615,319735,179080,143307
35,,,,Spending By Function,Net Interest Paid,Net Interest Paid,52533,68766,85032,89808,111102,129478,136017,138611,151803,168981,184347,194448,199344,198713,202932,232134,241053,243984,241118,229755,222949,206167,170949,153073,160245,183986,226603,237109,252757,186902,196194,229962,220408,220885,228956
36,,total_row,,Spending By Function,Net Surplus (or Deficit),Net Surplus (or Deficit),-73830,-78968,-127977,-207802,-185367,-212308,-221227,-149730,-155178,-152639,-221036,-269238,-290321,-255051,-203186,-163952,-107431,-21884,69270,125610,236241,128236,-157758,-377585,-412727,-318346,-248181,-160701,-458553,-1412688,-1294373,-1299590,-1086963,-679544,-484627
,,data_table,,,Memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
