order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,federal,,data_table,,,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,federal,,row,Assets,Financial,U.S. Official Reserve Assets,FL713011005.Q,13628,16206,16241,16882,14761,14627,18062,20479,16688,20131,42334,43632,38622,32476,33291,32984,32053,30218,28000,30719,27064,26596,25490,27862,30782,32280,29854,31388,33848,36778,36176,37029,36809,35774,34610,31960,30541
3,federal,,row,Assets,Financial,SDR Certificates,FL713014003.Q,1800,2518,3318,4618,4618,4618,4718,5018,5018,5018,8518,10018,10018,8018,8018,8018,10168,9718,9200,9200,6200,2200,2200,2200,2200,2200,2200,2200,2200,2200,5200,5200,5200,5200,5200,5200,5200
4,federal,,row,Assets,Financial,Treasury Currency,FL713012003.Q,13091,13832,14482,15043,15732,16418,17052,17567,18177,18799,19627,20402,21014,21447,22095,22994,24003,24966,25543,26270,28013,31643,33017,34597,35468,36434,36540,38206,38681,38674,42691,43542,44198,44751,45493,46301,47567
5,federal,,row,Assets,Financial,Federal Reserve float,FL713022003.Q,6767,4467,1762,2735,1563,855,988,1261,811,1286,1131,2222,731,3253,909,-716,107,4296,719,1636,-237,901,-23,418,-319,925,885,-333,-19,-1494,-2097,-1421,-631,-486,-962,-555,-36
6,federal,,row,Assets,Interbank Loans,Loans to Domestic Banks via AMLF,FL763069143.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15685,0,0,0,0,0,0,0
7,federal,,row,Assets,Interbank Loans,Loans to Domestic Banks via Discount Window,FL713068703.Q,1454,1809,1601,717,918,3577,3060,1565,3815,2170,481,190,218,675,94,223,135,85,2035,17,233,110,34,40,62,43,72,67,48636,544010,96618,221,196,70,74,145,115
8,federal,,row,Assets,Financial,Interbank Loans,FL713068705.Q,1454,1809,1601,717,918,3577,3060,1565,3815,2170,481,190,218,675,94,223,135,85,2035,17,233,110,34,40,62,43,72,67,48636,559695,96618,221,196,70,74,145,115
9,federal,,row,Assets,Financial,Security Repurchase Agreements,FL712051000.Q,2364,3330,3680,5773,2010,2015,5223,16005,4961,6861,2117,18354,15898,8094,13212,10590,13862,21583,23840,30376,140640,43375,50250,39500,43750,33000,46750,40750,46500,80000,0,0,0,0,0,0,0
10,federal,,row,Assets,Monetary authority; Treasury securities; asset,Monetary authority; bankers' acceptances; asset,FL713069603.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
