order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,combined,summary,data_table,,,Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,combined,,row,Balance Sheet,Balance Sheet,Total Assets,,2493319,2848351,3185622,3444173,3637298,3798004,4046813,4340038,4633164,4885248,5226262,5566614,5850358,6128587,6380152,6625641,7197183,7622178,8261311,8916174,9614425,10242734,10513776,10776009,11098472,12006553,13087900,14369065,15869126,16666244,16706795,17320143,18132428,18750080,19494534,20508674,21108251,21613280
3,combined,,row,Balance Sheet,Balance Sheet,Total Liabilities,,1782390,1944115,2095044,2334127,2658529,2940428,3266673,3662926,3941112,4281508,4658550,5057728,5514569,6090811,6590501,6989806,7398504,7725028,7960315,8162644,8332982,8392359,8649899,9266626,10159662,11831767,12654993,13346694,14038358,15321690,17489602,19583549,21220358,22680356,23814459,24785696,25689690,26905413
4,combined,,row,Balance Sheet,Balance Sheet,Total Net Worth,,710929,904236,1090578,1110046,978769,857576,780140,677112,692052,603740,567712,508886,335789,37776,-210349,-364165,-201321,-102850,300996,753530,1281443,1850375,1863877,1509383,938810,174786,432907,1022371,1830768,1344554,-782807,-2263406,-3087930,-3930276,-4319925,-4277022,-4581439,-5292133
5,combined,,row,Balance Sheet,Balance Sheet,Total Liabilities and Net Worth,,2493319,2848351,3185622,3444173,3637298,3798004,4046813,4340038,4633164,4885248,5226262,5566614,5850358,6128587,6380152,6625641,7197183,7622178,8261311,8916174,9614425,10242734,10513776,10776009,11098472,12006553,13087900,14369065,15869126,16666244,16706795,17320143,18132428,18750080,19494534,20508674,21108251,21613280
6,combined,expandable,data_table,,,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,combined,,row,Assets,Financial Assets,U.S. Official Reserve Assets,FL313011005.Q,5826,9620,13037,14760,18255,19734,22289,27928,26958,27264,31356,34568,37793,43109,41605,42379,54544,45069,38599,46269,46378,39682,44666,48815,54879,52002,41025,35088,35716,37076,97060,96025,109893,116305,112631,103748,89177,89936
8,combined,,row,Assets,Financial Assets,Checkable Deposits and Currency,FL313020005.Q + FL213020005.Q,39147,37094,34784,44892,51078,47461,35138,51684,53076,68035,60004,56984,52738,89026,86869,71798,75932,81770,81107,81353,95367,87777,84710,121621,98292,84556,98188,118088,138261,439006,374539,406273,167650,201071,201565,282448,336878,488001
9,combined,,row,Assets,Financial Assets,Checkable Deposits and Currency (Pensions),FL223020043.Q,479,664,716,760,1226,1790,2886,2200,4301,5095,3593,4318,4640,4435,6129,5794,4687,5883,8820,7610,9450,12778,13291,11004,14731,12517,8105,2897,3664,3425,3445,3404,4495,3744,3818,4292,4554,4431
10,combined,,row,Assets,Financial Assets,Time and Savings Deposits,FL313030003.Q + FL213030005.Q,63090,59913,58521,64494,61319,56022,61758,66882,75011,75239,73930,70599,62187,54355,49189,50437,59054,70724,77247,89370,103936,118881,136172,152045,155766,164434,162480,174901,191825,220658,242886,239596,238412,276984,300295,314033,325745,337016
11,combined,,row,Assets,Financial Assets,Time and Savings Deposits (Pensions),FL223030045.Q,2844,3556,3761,4610,7757,11093,14614,14183,5753,5865,8418,7953,12230,8358,8601,5520,2594,3871,2302,1621,1651,2869,1944,2619,903,767,9371,19655,26231,25780,27149,28008,38493,32062,32701,36751,39000,37948
12,combined,,row,Assets,Financial Assets,Money Market Fund Shares,FL213034003.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,3511,8802,11156,13716,18936,48597,52581,55842,57678,60468,69903,81049,95709,115183,126691,128716,140849,153890,154528,158200,164736,170060,179559
13,combined,,row,Assets,Financial Assets,Money Market Fund Shares (Pensions),FL223034043.Q,0,0,0,0,0,0,0,1480,1885,2270,2599,2813,2804,2979,3766,4763,5443,6593,8689,9759,10968,12107,14434,16461,14413,12247,28899,43258,51074,44441,41464,37873,46015,38327,39090,43933,46621,45362
14,combined,,row,Assets,Financial Assets,Security Repurchase Agreements,FL212051003.Q,8000,17500,16301,13450,23422,40000,67216,75637,85191,92201,100237,109562,114641,122350,124170,125790,101100,143807,149431,154000,153653,148326,138489,123382,119044,121146,124398,130683,140397,138175,125884,123669,121372,122226,125598,131261,135978,143821
15,combined,,row,Assets,Financial Assets,Security Repurchase Agreements (Pensions),FL222051043.Q,0,0,0,0,406,1657,3656,6480,10170,10900,10353,11410,16515,20685,26344,22909,31257,28179,32233,35839,40909,45179,38694,28708,25137,21359,12800,2727,3345,3033,2958,2835,3630,3023,3084,3466,3678,3578
16,combined,,row,Assets,Debt Securities,Commercial Paper,FL213069103.Q,0,0,0,0,0,0,0,0,0,500,1000,2500,6000,12000,16000,20000,26180,50436,67053,77849,94720,111927,128896,143491,155861,152680,150208,150307,152719,140850,118896,106597,93517,86239,78094,71001,62935,61049
17,combined,,row,Assets,Debt Securities,Commercial Paper (Pensions),FL223069143.Q,0,0,0,0,406,1657,3656,6480,10170,10900,10353,11410,16515,20685,26344,22909,31257,28179,32233,35839,40909,47652,51061,50970,44629,37921,31806,24355,31512,30112,30917,31164,41932,34927,35621,40035,42484,41338
18,combined,,row,Assets,Debt Securities,Agency and GSE-backed Securities,FL313061703.Q + FL213061703.Q,46504,60336,62628,64250,71057,71707,88968,95669,94242,110888,152932,151960,153813,166627,166402,172648,200300,149423,121578,132500,174399,218932,264619,306487,338697,359947,386524,425332,479502,499548,649683,658648,584226,490251,467966,452949,433102,414312
19,combined,,row,Assets,Debt Securities,Agency and GSE-backed Securities (Pensions),FL223061743.Q + FL343061733.Q,14496,17783,20948,27893,36156,38801,40841,36024,41311,39568,43928,56085,64651,49236,32078,45014,48067,70214,78798,98041,114932,143291,194655,186219,198474,276491,188073,182057,198689,184842,144596,157576,150716,109449,101705,108692,97465,99953
20,combined,,row,Assets,Debt Securities,Corporate and Foreign Bonds,FL313063763.Q + FL213063003.Q,0,0,0,0,250,2875,6625,9062,11063,12501,14001,15501,16938,19312,23613,29200,35730,45872,49753,56434,67653,78947,89948,99212,107316,114218,122831,135359,152817,158375,152789,158937,165424,164172,165587,169984,173019,181401
21,combined,,row,Assets,Debt Securities,Corporate and Foreign Bonds (Pensions),FL223063045.Q + FL343063033.Q,82063,90482,96785,104416,101813,99453,99829,108323,117592,131453,149842,153595,134043,154222,165381,169514,187618,202478,229672,264221,288017,310008,278142,262475,173313,239812,288340,396976,437466,488251,389326,372236,385279,417003,452304,500361,537531,569092
22,combined,,row,Assets,Financial Assets,Debt Securities,FL364022005.Q - FL213061105.Q - FL213062003.Q + FL343061733.Q + FL343063033.Q + FL223069143.Q + FL223061743.Q + FL223063045.Q,143063,168601,180361,196559,209682,214493,239919,255558,274378,305810,372056,391051,391960,422082,429818,459285,529152,546602,579087,664884,780630,910757,1007321,1048854,1018290,1181069,1167782,1314386,1452705,1501978,1486207,1485158,1421094,1302041,1301277,1343022,1346536,1367145
23,combined,,row,Assets,Financial Assets,Trade Receivables,FL313070000.Q + FL213070003.Q,34251,41343,48150,51539,57759,67472,74547,73741,83506,88064,96412,100623,95998,92146,91741,93881,95123,102881,106244,115184,125604,135216,151249,149181,170436,180184,202592,218408,222064,221175,182660,188862,202441,212424,219060,224339,236929,252955
