order,name,parent,data_table,type,style,government_type,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,Balance Sheet,,,data_table,summary,federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total Assets,Balance Sheet,Balance Sheet,row,,federal,,965116,1075797,1178726,1281349,1360416,1433149,1519284,1601455,1665156,1735444,1811094,1939747,2051438,2129089,2149798,2186575,2253309,2280973,2363310,2404860,2521633,2576692,2629382,2713718,2795342,2902041,3056894,3253608,3430342,3866021,4286016,4495432,4471369,4645101,4823899,5080672,5256870,5578603
3,Total Liabilities,Balance Sheet,Balance Sheet,row,,federal,,1291316,1409379,1532783,1720475,1987321,2218477,2485823,2806699,3032759,3267108,3489247,3775134,4114566,4494553,4812282,5066207,5304973,5503718,5600045,5615638,5600370,5458837,5447481,5745990,6293708,6805042,7234491,7590263,7950857,8868170,10725170,12391572,13651087,14919148,15851541,16642712,17277511,18250850
4,Total Net Worth,Balance Sheet,Balance Sheet,row,,federal,,-326200,-333582,-354057,-439126,-626905,-785328,-966539,-1205244,-1367603,-1531664,-1678153,-1835387,-2063128,-2365464,-2662484,-2879632,-3051664,-3222745,-3236735,-3210778,-3078737,-2882145,-2818099,-3032272,-3498366,-3903001,-4177597,-4336655,-4520515,-5002149,-6439154,-7896140,-9179718,-10274047,-11027642,-11562040,-12020641,-12672247
5,Total Liabilities and Net Worth,Balance Sheet,Balance Sheet,row,,federal,,965116,1075797,1178726,1281349,1360416,1433149,1519284,1601455,1665156,1735444,1811094,1939747,2051438,2129089,2149798,2186575,2253309,2280973,2363310,2404860,2521633,2576692,2629382,2713718,2795342,2902041,3056894,3253608,3430342,3866021,4286016,4495432,4471369,4645101,4823899,5080672,5256870,5578603
6,Assets,,,data_table,expandable,federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Monetary Gold,U.S. Official Reserve Assets,Assets,row,,federal,FL313011205.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,SDR Holdings,U.S. Official Reserve Assets,Assets,row,,federal,FL313011303.Q,2725,4007,3896,4809,5628,5554,6847,8295,9078,9074,9833,10666,10722,12111,9203,9971,11035,10177,9997,10106,10284,10316,10919,11710,12062,12782,8245,8655,9301,9418,57945,57410,55875,55232,54966,53148,50332,50054
9,Reserve Position at IMF (Net),U.S. Official Reserve Assets,Assets,row,,federal,FL313011405.Q,1313,1704,4658,6437,9437,11666,11734,11973,10982,9703,8854,8942,9157,9850,12200,12165,14777,15515,14135,21729,20094,13799,18519,20980,24190,19569,13414,6747,4606,4832,13513,13071,28947,35495,33706,28507,19024,18618
10,Other Reserve Assets,U.S. Official Reserve Assets,Assets,row,,federal,FL313011505.Q,1788,3909,4483,3514,3190,2514,3708,7660,6898,8487,12669,14960,17914,21147,20202,20243,28732,19377,14467,14434,16000,15567,15229,16121,18623,19647,19362,19682,21805,22822,25598,25540,25067,25574,23955,22089,19817,21260
11,U.S. Official Reserve Assets,Financial Assets,Assets,row,,federal,FL313011005.Q,5826,9620,13037,14760,18255,19734,22289,27928,26958,27264,31356,34568,37793,43109,41605,42379,54544,45069,38599,46269,46378,39682,44666,48815,54879,52002,41025,35088,35716,37076,97060,96025,109893,116305,112631,103748,89177,89936
12,Checkable Deposits and Currency,Financial Assets,Assets,row,,federal,FL313020005.Q,27081,25115,23978,34884,41761,34521,21029,33585,37426,44806,36747,33389,27232,59309,53892,36394,38689,47479,49307,47053,62916,55735,50562,77651,53292,35405,34784,51476,77247,372655,275039,310379,58858,83569,88643,160456,202596,355671
13,Time and Savings Deposits,Financial Assets,Assets,row,,federal,FL313030003.Q,997,988,667,986,784,939,1195,1456,1520,1419,1155,1459,1527,2175,826,722,1053,3313,2757,3550,4582,6248,11674,18414,9106,2247,2074,4822,1351,2851,1922,1770,1802,2116,1874,1606,2079,1838
14,Agency and GSE-backed Securities,Debt Securities,Assets,row,,federal,FL313061703.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3311,173327,164401,70588,1,1,1,1,1
15,Agency and GSE-backed Securities held by National Railroad Retirement Investment Trust (pension fund),Debt Securities,Assets,row,,federal,FL343061733.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738,3338,3263,3074,2070,1914,1144,916,720,555,519,386,397,362
16,Corporate and Foreign Bonds,Debt Securities,Assets,row,,federal,FL313063763.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,757,813,659,555,529,492,492
17,Corporate and Foreign Bonds held by National Railroad Retirement-Investment Trust (pension fund),Debt Securities,Assets,row,,federal,FL343063033.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,2383,2760,2816,4298,3563,3543,2552,3727,4154,4192,4517,5099,4647
18,Debt Securities,Financial Assets,Assets,row,,federal,FL314022005.Q + FL343061733.Q + FL343064133.Q + FL343063033.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4563,5721,6023,5890,6368,8788,178560,168626,75848,5369,5267,5433,5989,5502
19,Trade Receivables,Financial Assets,Assets,row,,federal,FL313070000.Q,10224,14443,17133,19852,25071,31057,36123,34213,40469,40550,43963,46090,39797,32351,29103,26560,22561,23291,21918,24305,25668,27667,37647,32480,48424,59836,69305,71108,66496,67438,45722,42745,48188,52006,50601,45591,49754,63788
20,Taxes Receivable,Financial Assets,Assets,row,,federal,FL313078005.Q,14944,12213,1720,0,2062,7936,11336,18369,19252,24497,23844,22499,16440,16979,19111,19580,22992,22988,90200,82900,79200,83700,82200,89400,94400,91400,90700,94300,101500,115500,131200,141900,151500,156800,164000,161700,177400,193100
21,Policy Loans,Short-Term,Assets,row,,federal,FL313069403.Q,1095,1192,1262,1238,1190,1148,1110,1239,1568,1020,1009,983,970,937,893,880,919,946,952,942,926,911,879,828,771,718,675,642,609,574,541,506,465,426,384,345,308,270
22,Loans to Automakers,Nonfinancial corporate business,Assets,row,,federal,FL313069213.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61261,54136,45862,45836,45814,45814,45806,45806
23,Loans to Corporate Farms,Nonfinancial corporate business,Assets,row,,federal,FL183169205.Q,733,940,1253,1300,1240,1300,1422,1410,1297,1203,1036,1130,833,776,752,697,593,575,572,573,596,654,680,711,739,734,725,732,749,780,912,1054,1182,1303,1343,1460,1614,1716
24,Loans to other nonfinancial corporate business,Nonfinancial corporate business,Assets,row,,federal,FL103169203.Q,6666,7995,9358,10783,10877,11471,14228,14950,11722,10000,9497,9750,8100,7850,8023,8159,10431,8933,8820,8677,8505,7801,9221,7395,7756,8255,9111,9723,10253,10095,12835,16565,21550,27052,29057,27757,27383,27875
25,Nonfinancial corporate business,U.S. Government Loans,Assets,row,,federal,FL103169205.Q,7399,8935,10611,12083,12117,12771,15650,16360,13019,11203,10533,10880,8933,8626,8775,8856,11024,9508,9392,9250,9101,8455,9901,8106,8495,8989,9836,10455,11002,10875,75008,71755,68594,74191,76214,75031,74803,75397
26,Loans to Noncorporate Farms,Nonfinancial noncorporate business,Assets,row,,federal,FL233169205.Q,9659,12186,15798,16367,15629,16233,17752,17548,16104,14750,12541,13270,9437,8787,8286,7236,5734,5230,4870,4511,4455,4570,4357,4044,3808,3462,3202,3102,3040,2992,3220,3559,3820,4014,3948,4123,4406,4723
27,Loans to other nonfinancial noncorporate businesses,Nonfinancial noncorporate business,Assets,row,,federal,FL113169203.Q,20555,24400,29728,34299,38019,40077,41609,41669,41811,43950,41748,40367,41133,40000,40424,38383,39621,37774,44239,44296,43833,42634,38521,38788,39371,40989,37080,41456,44034,45173,48213,49672,51341,52582,54297,54368,49854,49420
28,Nonfinancial noncorporate business,U.S. Government Loans,Assets,row,,federal,FL113169205.Q,30214,36586,45526,50666,53648,56310,59361,59217,57915,58700,54289,53637,50570,48787,48710,45619,45355,43004,49109,48807,48288,47204,42878,42832,43179,44451,40282,44558,47074,48165,51433,53231,55161,56596,58245,58491,54260,54143
29,Households and nonprofit organizations,U.S. Government Loans,Assets,row,,federal,FL153169203.Q,8209,9422,10530,12374,13216,13956,18144,18400,16627,19600,15548,17922,19839,21600,20860,15122,20475,19121,17653,17479,17320,16018,14771,14216,13482,12502,11785,12504,12687,12853,12571,12271,11381,11013,11559,12833,14795,16813
30,Funding corporations,U.S. Government Loans,Assets,row,,federal,FL503169205.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8324,9828,6126,2352,2352,2352,2352
31,State and local governments,U.S. Government Loans,Assets,row,,federal,FL213169203.Q,6551,7138,8469,9653,10703,11941,25535,26999,25348,15000,8801,9570,9801,9950,9438,9683,10215,10637,10537,10346,10163,8818,8892,9495,9709,9859,10428,11067,11756,12470,13241,13898,14960,15560,16078,16487,16656,17283
32,Rest of the world (excluding capital subscriptions and contributions to international financial instituations and IMF),U.S. Government Loans,Assets,row,,federal,FL263169205.Q,47854,54110,58934,64058,67371,71603,73278,75228,74047,72561,66709,67138,57646,57389,55440,54438,54729,54474,52894,51980,51327,46882,45965,44126,41601,38703,31820,24925,21709,19119,18733,19616,19809,22962,27881,30556,31664,34648
33,Sallie Mae,U.S. Government Loans,Assets,row,,federal,FL403169283.Q,1275,2345,4300,5000,5000,5000,5300,6056,4970,4970,4970,4970,4850,4820,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Loans to finance companies (Chrysler Financial),U.S. Government Loans,Assets,row,,federal,FL313069223.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
