order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,state_local,summary,data_table,,,Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,state_local,,row,Balance Sheet,Balance Sheet,Total Assets,,1637412,1879751,2143441,2330394,2471510,2595554,2820798,3156784,3471464,3671183,3934217,4209737,4404309,4622970,4892398,5094602,5484967,5856164,6366777,6993340,7615346,8179000,8401214,8559305,8821986,9639438,10667130,11803982,13247394,13579450,13161411,13567257,14406270,14876801,15474165,16239237,16676345,16932161
3,state_local,,row,Balance Sheet,Balance Sheet,Total Liabilities,,601095,649501,702975,781898,870680,959207,1082076,1280460,1421761,1542295,1691711,1869172,2003589,2233245,2443644,2548363,2618728,2708878,2829022,3036757,3246831,3435439,3699367,4024818,4387130,5568779,6084031,6455424,6891959,7213513,7500948,7936553,8297546,8541978,8745808,8948111,9246054,9570992
4,state_local,,row,Balance Sheet,Balance Sheet,Total Net Worth,,1036317,1230250,1440466,1548496,1600830,1636347,1738722,1876324,2049703,2128888,2242506,2340565,2400720,2389725,2448754,2546239,2866239,3147286,3537755,3956583,4368515,4743561,4701847,4534487,4434856,4070659,4583099,5348558,6355435,6365937,5660463,5630704,6108724,6334823,6728357,7291126,7430291,7361169
5,state_local,,row,Balance Sheet,Balance Sheet,Total Liabilities and Net Worth,,1637412,1879751,2143441,2330394,2471510,2595554,2820798,3156784,3471464,3671183,3934217,4209737,4404309,4622970,4892398,5094602,5484967,5856164,6366777,6993340,7615346,8179000,8401214,8559305,8821986,9639438,10667130,11803982,13247394,13579450,13161411,13567257,14406270,14876801,15474165,16239237,16676345,16932161
6,state_local,expandable,data_table,,,ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,state_local,,row,ASSETS,Financial Assets,Checkable Deposits and Currency,FL213020005.Q,12066,11979,10806,10008,9317,12940,14109,18099,15650,23229,23257,23595,25506,29717,32977,35404,37243,34291,31800,34300,32451,32042,34148,43970,45000,49151,63404,66612,61014,66351,99500,95894,108792,117502,112922,121992,134282,132330
8,state_local,,row,ASSETS,Financial Assets,Checkable Deposits and Currency (Pensions),FL223020043.Q,479,664,716,760,1226,1790,2886,2200,4301,5095,3593,4318,4640,4435,6129,5794,4687,5883,8820,7610,9450,12778,13291,11004,14731,12517,8105,2897,3664,3425,3445,3404,4495,3744,3818,4292,4554,4431
9,state_local,,row,ASSETS,Financial Assets,Time and Savings Deposits,FL213030005.Q,62093,58925,57854,63508,60535,55083,60563,65426,73491,73820,72775,69140,60660,52180,48363,49715,58001,67411,74490,85820,99354,112633,124498,133631,146660,162187,160406,170079,190474,217807,240964,237826,236610,274868,298421,312427,323666,335178
10,state_local,,row,ASSETS,Financial Assets,Time and Savings Deposits (Pensions),FL223030045.Q,2844,3556,3761,4610,7757,11093,14614,14183,5753,5865,8418,7953,12230,8358,8601,5520,2594,3871,2302,1621,1651,2869,1944,2619,903,767,9371,19655,26231,25780,27149,28008,38493,32062,32701,36751,39000,37948
11,state_local,,row,ASSETS,Financial Assets,Money Market Fund Shares,FL213034003.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,3511,8802,11156,13716,18936,48597,52581,55842,57678,60468,69903,81049,95709,115183,126691,128716,140849,153890,154528,158200,164736,170060,179559
12,state_local,,row,ASSETS,Financial Assets,Money Market Fund Shares (Pensions),FL223034043.Q,0,0,0,0,0,0,0,1480,1885,2270,2599,2813,2804,2979,3766,4763,5443,6593,8689,9759,10968,12107,14434,16461,14413,12247,28899,43258,51074,44441,41464,37873,46015,38327,39090,43933,46621,45362
13,state_local,,row,ASSETS,Financial Assets,Security Repurchase Agreements,FL212051003.Q,8000,17500,16301,13450,23422,40000,67216,75637,85191,92201,100237,109562,114641,122350,124170,125790,101100,143807,149431,154000,153653,148326,138489,123382,119044,121146,124398,130683,140397,138175,125884,123669,121372,122226,125598,131261,135978,143821
14,state_local,,row,ASSETS,Financial Assets,Security Repurchase Agreements (Pensions),FL222051043.Q,0,0,0,0,406,1657,3656,6480,10170,10900,10353,11410,16515,20685,26344,22909,31257,28179,32233,35839,40909,45179,38694,28708,25137,21359,12800,2727,3345,3033,2958,2835,3630,3023,3084,3466,3678,3578
