order,government_type,style,type,data_table,parent,name,source,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,federal,,,,,Government-sponsored enterprises balance sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,federal,expandable,data_table,,,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,federal,,row,Assets,Assets,Checkable Deposits and Currency,FL403020005.Q,533,710,560,765,1346,2129,3657,3587,3556,2284,2109,1205,1196,2123,1337,1512,780,2097,4952,12107,4412,6667,14756,28778,39135,14603,16374,13654,88328,99406,63364,72669,52582,81607,64959,40957
4,federal,,row,Assets,Assets,Time and Savings Deposits,FL403030005.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6409,4718,9956,22184,30326,25263,16749,23289,35342,33872,46642,68498,25744,26050,13391,4290,5378,3275,2536
5,federal,,row,Assets,Assets,Federal Funds and Security Repurchase Agreements,FL402050005.Q,6008,9476,14855,12569,20912,26909,29396,27189,33782,61793,68691,67570,66578,50334,85771,106257,94467,90378,77007,89730,80584,105467,98260,78769,96346,110294,119622,144128,115791,123336,151208,112262,150830,152286,162629,182862
6,federal,,row,Assets,Debt Securities,Commercial Paper,FL403069105.Q,374,686,404,783,683,98,87,40,395,3251,3765,10859,13526,11866,26302,25470,35095,27635,56210,23851,31100,33829,10353,6687,5814,13813,32352,27655,6791,9741,9903,6479,3398,4426,5950,5466
7,federal,,row,Assets,Debt Securities,Treasury Securities,FL403061105.Q,1682,1901,3402,1824,2707,6786,16288,20990,26261,12990,34326,40754,58702,51593,51942,57996,18760,25879,25158,30943,13262,13613,25729,13462,12860,13069,14247,15547,16767,36640,82577,100197,69013,59094,64267,87503
8,federal,,row,Assets,Debt Securities,Agency-and-GSE Backed Securities,FL403061705.Q,825,983,929,497,725,799,200,126,339,6262,11883,34764,47482,66041,130793,190828,256631,324238,482679,655590,810911,1017821,1149520,1088880,886503,751078,714013,702944,909985,924546,377009,358924,310609,287876,295680,281413
9,federal,,row,Assets,Debt Securities,Municipal Securities,FL403062005.Q,0,0,0,742,1232,1589,2268,2443,2926,2903,3685,2981,3188,3129,5170,7846,12111,12658,19159,22735,29197,35357,39394,44381,44644,39695,36091,33324,31291,29100,24918,21049,16956,13408,10816,8185
10,federal,,row,Assets,Debt Securities,Corporate and Foreign Bonds,FL403063005.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,11053,19989,29920,38064,44102,68721,97518,131133,155735,189268,222812,414801,465676,481737,464350,386606,296013,266450,235672,185678,126274,95431,64293
11,federal,,row,Assets,Assets,Debt Securities,FL404022005.Q,2881,3570,4735,3846,5347,9272,18843,23599,29921,25406,53659,89358,122898,143682,234196,312060,360661,434512,651927,830637,1015603,1256355,1414264,1376222,1364622,1283331,1278440,1243820,1351440,1296040,760857,722321,585654,491078,472144,446860
12,federal,,row,Assets,Loans,Other Sallie Mae Loans*,FL403069385.Q,0,0,0,2596,3342,4330,5158,6602,6314,6800,7832,8979,7406,6577,6599,3536,2400,1368,1090,782,841,801,448,346,0,0,0,0,0,0,0,0,0,0,0,0
13,federal,,row,Assets,Loans,Farm Credit System,FL403069345.Q,29228,30704,29061,28564,26929,22023,18963,18151,17494,19383,19900,22690,24040,25449,26279,30156,31576,31576,34921,35815,38897,41759,43783,43822,43574,51632,63539,75483,80252,80028,87277,83752,92068,94975,106135,114970
14,federal,,row,Assets,Loans,FHLB Advances,FL403069330.Q,48963,65194,66001,58953,74621,88835,108645,133058,152781,141797,117103,79065,79881,103131,125889,132263,161369,197788,288189,395745,437861,463297,470482,501682,575816,620167,641386,867142,900464,615900,463986,403286,413600,492559,565672,631233
15,federal,,row,Assets,Home Mortgages,Securitized Home Mortgages,FL403065195.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141016,4032089,3958029,4087746,4104240,4171764
16,federal,,row,Assets,Home Mortgages,Other Home Mortgages,FL403065185.Q,57758,63990,74316,83685,94426,111639,105943,102840,109044,114121,119462,130700,161047,201093,204067,209497,202918,198229,203861,193454,209580,231241,276813,519127,508610,453866,457587,447861,456647,433446,549702,555637,517549,458645,433629,396910
17,federal,,row,Assets,Mortgages,Home Mortgages,FL403065105.Q,57758,63990,74316,83685,94426,111639,105943,102840,109044,114121,119462,130700,161047,201093,204067,209497,202918,198229,203861,193454,209580,231241,276813,519127,508610,453866,457587,447861,456647,433446,4690718,4587726,4475578,4546391,4537869,4568674
18,federal,,row,Assets,Multifamily Residential Mortgages,Securitized Multifamily Residential Mortgages,FL403065495.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75393,99872,127401,146258,164055,185253
19,federal,,row,Assets,Multifamily Residential Mortgages,Other Multifamily Residential Mortgages,FL403065485.Q,6744,5482,5361,5284,6510,8457,8731,8425,9528,12029,13219,14198,15828,17517,18376,18466,17702,16215,16175,20497,24951,33178,41684,68197,82451,92960,105364,147674,190189,204378,181065,159358,138053,97248,76725,71634
20,federal,,row,Assets,Mortgages,Multifamily Residential Mortgages,FL403065405.Q,6744,5482,5361,5284,6510,8457,8731,8425,9528,12029,13219,14198,15828,17517,18376,18466,17702,16215,16175,20497,24951,33178,41684,68197,82451,92960,105364,147674,190189,204378,256458,259230,265454,243506,240780,256887
21,federal,,row,Assets,Mortgages,Farm Mortgages,FL403065605.Q,36280,43939,47823,48929,49187,39638,33101,28194,25885,24341,23462,22775,22867,22410,22137,22480,23463,24972,26956,28084,29722,33057,38781,34197,37965,41977,44226,47561,58487,69860,73803,77083,82478,87870,91810,94535
22,federal,,row,Assets,Loans,Mortgages,FL403065005.Q,100782,113411,127500,137898,150123,159734,147775,139459,144457,150491,156143,167673,199742,241020,244580,250443,244083,239416,246992,242035,264253,297476,357278,621521,629026,588803,607177,643096,705323,707684,5020979,4924039,4823510,4877767,4870459,4920096
23,federal,,row,Assets,Loans,Sallie Mae Student Loans*,FL403069383.Q,2639,4826,6413,7866,9803,12279,14702,18400,21191,24630,28770,31801,33446,35197,38950,39513,38015,32765,31077,35880,38830,41195,37714,21243,0,0,0,0,0,0,0,0,0,0,0,0
24,federal,,row,Assets,Assets,Loans,FL404023005.Q,181612,214135,228975,232592,260588,281721,288715,307313,334248,334500,320221,299511,335241,402982,433717,450734,473180,499668,599562,708186,778844,842760,908809,1187923,1248416,1260602,1312102,1585721,1686039,1403612,5572242,5411077,5329178,5465301,5542266,5666299
25,federal,,row,Assets,Assets,Unidentified Miscellaneous Assets,FL403093005.Q,4106,4747,5668,6748,9529,3920,5823,12696,20215,30259,32941,39208,26901,32538,27293,26883,60102,67695,67597,72549,63374,68910,90867,109362,113852,117830,114651,141695,99113,100313,148632,148492,152575,165627,154660,148156
26,federal,,total_row,Assets,Assets,Assets (Financial),FL404090005.Q,195140,232638,254793,256520,297722,323951,346434,374384,421722,454242,477621,496852,552814,631659,782314,897446,989190,1100759,1405763,1723165,1965000,2310485,2552219,2797802,2885660,2822002,2875061,3175660,3409209,3048451,6722353,6480212,6275109,6361277,6399933,6487670
27,federal,expandable,data_table,,,Liabilities & Net Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,federal,,row,Liabilities & Net Worth,Liabilities,Federal Funds and Security Repurchase Agreements,FL402150005.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1699,6373,5179,3299,2900,2269,1277,1200,1252,400,0,0,50,0
29,federal,,row,Liabilities & Net Worth,Debt Securities (GSE Issues),Securitized GSE Issues,FL403161795.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4216409,4131961,4085430,4234004,4268295,4357017
30,federal,,row,Liabilities & Net Worth,Debt Securities (GSE Issues),Other GSE Issues,FL403161785.Q,159926,190431,205373,206780,237210,257795,273010,303214,348097,373327,393694,402903,443609,524171,701044,807007,897443,996511,1275425,1594210,1826417,2130565,2350398,2601271,2676270,2592229,2627811,2910192,3181923,2706589,2218114,2115363,2007259,1966222,2007210,2011979
31,federal,,row,Liabilities & Net Worth,Liabilities,Debt Securities (GSE Issues),FL403161705.Q,159926,190431,205373,206780,237210,257795,273010,303214,348097,373327,393694,402903,443609,524171,701044,807007,897443,996511,1275425,1594210,1826417,2130565,2350398,2601271,2676270,2592229,2627811,2910192,3181923,2706589,6434523,6247324,6092689,6200226,6275505,6368996
32,federal,,row,Liabilities & Net Worth,Liabilities,U.S. Government Loans to Sallie Mae*,FL403169283.Q,2720,4600,5000,5000,5000,6085,5720,4970,4970,4970,4850,4820,4790,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,federal,,row,Liabilities & Net Worth,Miscellaneous Liabilities,Equity held in GSEs,FL403192405.Q,9010,10391,11249,11453,12340,13141,13672,14966,16930,16335,13679,12974,12802,14447,16273,18256,19706,21468,25521,31583,33812,37088,39080,42283,44788,46697,46878,55971,51767,51767,49021,43079,41249,41723,42933,44202
