order,government_type,style,type,name,parent,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013,2014
1,,,,Compensation of Government Employees,,,,,,,,,,,,
2,combined,expandable,data_table,Compensation,,,,,,,,,,,,
3,combined,,row,Federal Government,37,122163,175435,215788,228555,256305,362369,462215,470599,468337,458280,462703
4,combined,,row,Military,3,42251,67400,79957,70995,74433,126823,163215,164512,162713,157190,153703
5,combined,,row,Non-Military,3,79912,108035,135831,157560,181872,235546,299000,306087,305624,301091,308999
6,combined,,row,State and Local Government,37,205841,305418,460634,611572,795590,1041764,1261260,1266544,1274955,1303326,1341161
7,combined,,row,Education,6,99710,146981,223041,296781,395857,515257,629072,631041,634734,649676,666680
8,combined,,row,Non-Education,6,106131,158438,237593,314791,399733,526507,632187,635503,640222,653650,674481
9,combined,subtotal,row,Wages & Salaries,2,261461,373863,519049,629026,779787,991511,1191091,1194756,1198240,1207968,1236695
10,combined,,row,Federal Government,9,90120,128151,160396,173700,194988,263484,328524,331668,327651,320404,324003
11,combined,,row,Military,10,29817,47860,58276,54552,57960,90852,113544,113616,112089,109793,107962
12,combined,,row,Non-Military,10,60303,80291,102120,119148,137028,172632,214980,218052,215562,210611,216041
13,combined,,row,State and Local Government,9,171341,245712,358653,455326,584799,728027,862567,863088,870589,887564,912692
14,combined,,row,Education,13,82848,118207,173286,220496,290446,359531,429249,429089,432436,441398,452584
15,combined,,row,Non-Education,13,88493,127505,185367,234830,294353,368496,433318,433999,438153,446166,460108
16,combined,subtotal,row,Other Supplemental Benefits,2,22607,44573,76569,106352,138105,223191,283005,292616,295260,302678,315119
17,combined,,row,Federal Government,16,5746,11150,20879,25735,31600,59579,76109,79944,80721,78291,78663
18,combined,,row,Military,17,2015,3268,4803,4259,4383,18873,22901,23357,22768,19731,18615
19,combined,,row,Non-Military,17,3731,7882,16076,21476,27217,40706,53208,56587,57953,58562,60046
20,combined,,row,State and Local Government,16,16861,33423,55690,80617,106505,163612,206896,212672,214539,224387,236456
21,combined,subtotal,row,Promised Pension Contributions,2,43936,62417,80804,104749,134003,189431,249379,249771,249792,250960,252050
22,combined,,row,Federal Government,21,26297,36134,34513,29120,29717,39306,57582,58987,59965,59585,60037
23,combined,,row,Military,22,10419,16272,16878,12184,12090,17098,26770,27539,27856,27666,27126
24,combined,,row,Non-Military,22,15878,19862,17635,16936,17627,22208,30812,31448,32109,31918,32912
25,combined,,row,State and Local Government,21,17639,26283,46291,75629,104286,150125,191797,190784,189827,191375,192013
26,combined,expandable,data_table,Pension Over or Under Funding,,,,,,,,,,,,
27,combined,subtotal,row,Actual Pension Contributions,26,47617,79204,88475,98822,106213,147016,234633,246365,259107,274787,289118
28,combined,,row,Federal Government,27,28485,51168,55439,57075,66530,85136,144719,149322,156254,159873,164741
29,combined,,row,Military,28,12584,28234,27520,23185,28221,41092,88131,92920,97447,101225,103656
30,combined,,row,Non-Military,28,15901,22934,27919,33890,38309,44044,56588,56402,58807,58648,61085
31,combined,,row,State and Local Government,27,19132,28036,33036,41747,39683,61880,89914,97043,102853,114914,124377
32,combined,subtotal,row,Over (+) or Under (-) funded Pension Contributions,26,3681,16787,7671,-5927,-27790,-42415,-14746,-3406,9315,23827,37068
33,combined,,row,Federal Government,32,2188,15034,20926,27955,36813,45830,87137,90335,96289,100288,104704
34,combined,,row,Military,33,2165,11962,10642,11001,16131,23994,61361,65381,69591,73559,76530
35,combined,,row,Non-Military,33,23,3072,10284,16954,20682,21836,25776,24954,26698,26730,28173
36,combined,,row,State and Local Government,32,1493,1753,-13255,-33882,-64603,-88245,-101883,-93741,-86974,-76461,-67636
37,combined,,total_row,Total Compensation,2,328004,480853,676422,840127,1051895,1404133,1723475,1737143,1743292,1761606,1803864
38,combined,,total_row,Total Contributions,26,51298,95991,96146,92895,78423,104601,219887,242959,268422,298614,326186
39,combined,,row,Federal Government,38,30673,66202,76365,85030,103343,130966,231856,239657,252543,260161,269445
40,combined,,row,State and Local Government,38,20625,29789,19781,7865,-24920,-26365,-11969,3302,15879,38453,56741
41,combined,,row,Military,39,14749,40196,38162,34186,44352,65086,149492,158301,167038,174784,180186
42,combined,,row,Non-Military,39,15924,26006,38203,50844,58991,65880,82364,81356,85505,85378,89258
