order,government_type,style,type,parent,name,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
1,combined,,,,Compensation of Government Employees (per person),,,,,,,,,,,,
2,combined,,data_table,,Compensation,,,,,,,,,,,,
3,combined,,row,26,Federal Government,23902,33258,40372,50487,61449,87003,105049,108433,109450,108700,111602,113512
4,combined,,row,3,Military,19127,28754,35301,40849,48114,81821,102073,103402,103970,101675,102537,102167
5,combined,,row,3,Non-Military,27537,36859,44101,56493,69311,90075,106748,111345,112610,112768,116736,119760
6,combined,,row,26,State and Local Government,18416,26928,35360,44096,53288,66068,78242,79682,81083,82557,84313,86912
7,combined,,row,6,Education,18992,27163,35675,43812,52279,64431,76847,78012,77843,79277,81851,85666
8,combined,,row,6,Non-Education,17906,26714,35069,44368,54326,67753,79681,81412,84574,86097,86895,88178
9,combined,subtotal,row,2,Wages & Salaries,32963,45958,57541,71200,85918,109432,128174,130720,131939,132218,135525,138628
10,combined,,row,9,Federal Government,17633,24294,30009,38370,46749,63261,74665,76421,76572,75997,78148,79437
11,combined,,row,10,Military,13498,20418,25729,31388,37466,58614,71009,71412,71622,71017,72023,71788
12,combined,,row,10,Non-Military,20780,27394,33156,42721,52221,66016,76751,79320,79426,78881,81617,83651
13,combined,,row,9,State and Local Government,15330,21664,27532,32830,39169,46171,53509,54299,55367,56221,57377,59191
14,combined,,row,13,Education,15781,21846,27717,32550,38358,44958,52437,53046,53034,53862,55566,58197
15,combined,,row,13,Non-Education,14930,21498,27360,33098,40004,47419,54615,55598,57880,58768,59277,60201
16,combined,subtotal,row,2,Other Supplemental Benefits,2633,5061,8181,11498,14710,24681,30133,31800,32508,32783,33838,34759
17,combined,,row,16,Federal Government,1124,2114,3906,5685,7576,14305,17298,18420,18864,18570,18973,19448
18,combined,,row,17,Military,912,1394,2121,2451,2833,12176,14322,14681,14548,12763,12418,12295
19,combined,,row,17,Non-Military,1286,2689,5219,7700,10372,15566,18996,20585,21353,21933,22685,23389
20,combined,,row,16,State and Local Government,1509,2947,4275,5813,7134,10376,12835,13380,13644,14213,14865,15311
21,combined,subtotal,row,2,Promised Pension Contributions,6723,9167,10010,11886,14110,18958,24985,25594,26086,26255,26552,27035
22,combined,,row,21,Federal Government,5145,6850,6457,6433,7125,9437,13087,13591,14014,14133,14481,14626
23,combined,,row,22,Military,4717,6942,7452,7010,7815,11031,16742,17309,17799,17895,18096,18084
24,combined,,row,22,Non-Military,5471,6777,5726,6072,6718,8493,11000,11440,11831,11954,12434,12721
25,combined,,row,21,State and Local Government,1578,2317,3553,5453,6985,9521,11898,12003,12072,12122,12071,12409
26,combined,,total_row,2,Total Compensation,42318,60186,75732,94583,114737,153071,183291,188115,190533,191257,195915,200424
28,combined,,data_table,,Pension Over or Under Funding,,,,,,,,,,,,
29,combined,subtotal,row,28,Actual Pension Contributions,7285,12172,12908,15618,18609,24365,38469,40511,43057,45200,47554,49358
30,combined,,row,29,Federal Government,5573,9700,10372,12608,15951,20441,32891,34406,36516,37921,39735,41173
31,combined,,row,30,Military,5697,12045,12150,13340,18242,26511,55116,58404,62266,65475,69150,72742
32,combined,,row,30,Non-Military,5479,7825,9065,12151,14599,16843,20203,20517,21668,21966,23077,23783
33,combined,,row,29,State and Local Government,1712,2472,2536,3010,2658,3924,5578,6105,6541,7279,7819,8185
34,combined,subtotal,row,28,Over (+) or Under (-) funded Pension Contributions,562,3005,2897,3732,4499,5408,13484,14917,16972,18944,21002,22322
35,combined,,row,34,Federal Government,428,2850,3915,6175,8826,11004,19804,20815,22503,23787,25254,26547
36,combined,,row,35,Military,980,5103,4698,6330,10427,15480,38375,41094,44467,47580,51054,54658
37,combined,,row,35,Non-Military,8,1048,3339,6079,7882,8350,9202,9077,9837,10011,10643,11062
38,combined,,row,34,State and Local Government,134,155,-1018,-2443,-4327,-5596,-6320,-5898,-5531,-4843,-4252,-4225
39,combined,,total_row,28,Total Contributions,7847,15177,15805,19350,23108,29773,51953,55428,60029,64144,68556,71680
40,combined,,row,39,Federal Government,6001,12550,14287,18783,24777,31445,52695,55221,59019,61708,64989,67720
41,combined,,row,39,State and Local Government,1846,2627,1518,567,-1669,-1672,-742,207,1010,2436,3567,3960
42,combined,,row,40,Military,6677,17148,16848,19670,28669,41991,93491,99498,106733,113055,120204,127400
43,combined,,row,40,Non-Military,5487,8873,12404,18230,22481,25193,29405,29594,31505,31977,33720,34845
