order,government_type,style,type,parent,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,state_local,,,,State and Local Government Hourly Compensation for Select Occupations (2004-2015),,,,,,,,,,,,
2,state_local,expandable,data_table,,All State and Local Workers,,,,,,,,,,,,
3,state_local,,total_row,2,Total Compensation (per hour worked),34.56,35.92,37.54,38.63,38.64,39.65,39.98,40.65,41.44,42.4,43.42,44.25
4,state_local,,row,2,Wages and Salaries,23.79,24.45,25.31,25.73,25.45,26.08,26.26,26.57,26.93,27.37,27.85,28.33
5,state_local,,row,2,Benefits,10.77,11.47,12.23,12.89,13.2,13.57,13.72,14.08,14.52,15.04,15.58,15.92
6,state_local,,row,5,Paid Leave,2.63,2.7,2.94,3.03,3.19,3.14,3.02,3.03,3.05,3.11,3.17,3.21
7,state_local,,row,6,Vacation,0.91,0.94,1.02,1.08,1.12,1.15,1.14,1.14,1.14,1.16,1.18,1.19
8,state_local,,row,6,Holiday,0.87,0.9,0.94,0.96,1.05,0.99,0.89,0.88,0.89,0.92,0.93,0.95
9,state_local,,row,6,Sick,0.64,0.66,0.74,0.75,0.8,0.79,0.77,0.78,0.79,0.81,0.83,0.84
10,state_local,,row,6,Personal,0.2,0.21,0.24,0.24,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24
11,state_local,,row,5,Supplemental Pay,0.31,0.32,0.32,0.34,0.35,0.34,0.33,0.34,0.34,0.34,0.36,0.35
12,state_local,,row,11,Overtime and premium,0.14,0.15,0.16,0.18,0.17,0.18,0.17,0.18,0.18,0.19,0.19,0.19
13,state_local,,row,11,Shift differentials,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04
14,state_local,,row,11,Nonproduction bonuses,0.1,0.1,0.1,0.11,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12
15,state_local,,row,6,Insurance,3.57,3.87,4.12,4.37,4.37,4.55,4.75,4.87,4.99,5.12,5.19,5.25
16,state_local,,row,15,Life,0.06,0.06,0.06,0.07,0.09,0.09,0.09,0.08,0.09,0.09,0.06,0.06
17,state_local,,row,15,Health,3.44,3.74,4,4.23,4.2,4.38,4.6,4.72,4.83,4.97,5.06,5.12
18,state_local,,row,15,Short-Term Disability,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
19,state_local,,row,15,Long-Term Disability,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04
20,state_local,,row,5,Retirement and Savings,2.18,2.42,2.63,2.9,3,3.18,3.22,3.37,3.6,3.9,4.29,4.49
21,state_local,,row,20,Defined Benefit,1.93,2.15,2.35,2.59,2.68,2.86,2.89,3.04,3.28,3.56,3.92,4.11
22,state_local,,row,20,Defined Contribution,0.25,0.26,0.29,0.31,0.33,0.32,0.32,0.33,0.32,0.34,0.37,0.38
23,state_local,,row,5,Legally Required Benefits,2.03,2.12,2.2,2.26,2.3,2.36,2.41,2.48,2.53,2.56,2.58,2.6
24,state_local,,row,23,Social Security,1.21,1.23,1.29,1.33,1.39,1.42,1.45,1.46,1.47,1.49,1.49,1.51
25,state_local,,row,23,Medicare,0.36,0.37,0.39,0.4,0.41,0.42,0.42,0.42,0.43,0.44,0.45,0.45
26,state_local,,row,23,Federal Unemployment Insurance,0,0,0,0,0,0,0,0,0,0,0,0
27,state_local,,row,23,State Unemployment Insurance,0.06,0.07,0.06,0.06,0.06,0.07,0.08,0.12,0.13,0.11,0.1,0.09
28,state_local,,row,23,Workers' Compensation,0.4,0.46,0.47,0.47,0.44,0.46,0.46,0.49,0.51,0.52,0.54,0.55
29,state_local,,row,5,Other Benefits,0.05,0.05,0,0,0,0,0,0,0,0,0,0
30,state_local,,data_table,,"Primary, Secondary, and Special Ed. Teachers",,,,,,,,,,,,
31,state_local,,total_row,30,Total Compensation (per hour worked),45.57,47.16,49.28,50.93,51.53,53.1,54.75,56.57,57.36,58.3,59.43,60.83
32,state_local,,row,30,Wages and Salaries,33.71,34.56,35.87,36.65,36.59,37.54,38.67,39.72,40,40.32,40.82,41.46
33,state_local,,row,30,Benefits,11.86,12.61,13.41,14.29,14.93,15.56,16.08,16.85,17.36,17.98,18.6,19.36
34,state_local,,row,33,Paid Leave,2.36,2.4,2.51,2.57,2.46,2.51,2.57,2.54,2.52,2.53,2.57,2.61
35,state_local,,row,33,Supplemental Pay,0.11,0.11,0.1,0.1,0.16,0.15,0.15,0.16,0.16,0.17,0.18,0.18
36,state_local,,row,33,Insurance,4.22,4.57,5,5.35,5.7,5.87,6.24,6.52,6.66,6.78,6.75,6.89
37,state_local,,row,33,Retirement and Savings,2.73,3.01,3.26,3.65,3.95,4.31,4.3,4.72,5.07,5.54,6.21,6.77
38,state_local,,row,33,Legally Required Benefits,2.35,2.43,2.54,2.6,2.66,2.73,2.84,2.92,2.96,2.97,2.9,2.92
39,state_local,,row,33,Other Benefits,0.09,0.09,0,0,0,0,0,0,0,0,0,0
40,state_local,,data_table,,Office and administrative support occupations,,,,,,,,,,,,
41,state_local,,total_row,40,Total Compensation (per hour worked),23.7,24.56,25.6,26.5,26.6,27.45,27.95,28.42,28.84,29.35,30.08,30.93
42,state_local,,row,40,Wages and Salaries,15.11,15.43,15.93,16.36,16.41,16.86,17.04,17.23,17.44,17.6,17.93,18.33
43,state_local,,row,40,Benefits,8.59,9.13,9.68,10.15,10.19,10.59,10.92,11.19,11.4,11.75,12.16,12.61
44,state_local,,row,43,Paid Leave,2.25,2.31,2.44,2.5,2.42,2.49,2.52,2.53,2.55,2.57,2.62,2.7
45,state_local,,row,43,Supplemental Pay,0.16,0.17,0.18,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21
