order,government_type,style,type,footnote,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,combined,expandable,data_table,,,,Number of Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,combined,,total_row,,Number of Employees,Number of Employees,Total Employees,17999677,17793481,17948758,17900357,18573882,18841457,19101612,19386192,19726044,20009380,20412427,20539958,20276133,20528544,21030623,21039044,na,20978598,21261238,21691214,22260093,22355028,22452745,22800476,22920397,23113910,23432543,23495570,23863448,23931397,23965636,23580952,23380996,23234717,23269407
3,combined,subtotal,row,,Number of Employees,Number of Employees,Establish Justice and Ensure Domestic Tranquility,1272194,1297973,1562923,1574593,1680954,1730482,1778332,1785346,1920724,1958822,2039131,2097663,2080353,2153803,2264588,2342572,na,2433789,2495825,2563813,2653370,2706868,2685409,2754327,2796955,2838612,2889909,2869385,2959824,2924560,2897342,2884727,2839429,2829132,2836504
4,combined,,row,,Number of Employees,Establish Justice and Ensure Domestic Tranquility,Police Protection Total,715057,718623,732040,735098,749482,760215,771141,761815,803481,813683,832280,844399,834241,862198,892905,925956,na,950646,976386,1017708,1041133,1060262,1060689,1118151,1119958,1130732,1154168,1163646,1196131,1195625,1191324,1199553,1163330,1153342,1151802
5,combined,,row,,Number of Employees,Police Protection Total,Police Protection - Persons with Power of Arrest       ,491604,494008,497755,499313,504807,509584,515113,499387,530255,535927,546866,553330,538239,561050,580995,606056,na,623009,637567,662442,676433,686352,683429,688588,688912,698215,714573,715155,734107,733211,727818,735544,710154,708304,714599
6,combined,,row,,Number of Employees,Police Protection Total,Police Protection - Other ,167453,168615,172285,171785,179502,184607,189293,189635,194471,199054,206820,208263,208386,214919,227862,233813,na,233127,238562,251170,259062,267573,267982,272956,270973,275025,278582,282047,285139,283877,280933,275367,260822,252825,251573
7,combined,,row,,Number of Employees,Establish Justice and Ensure Domestic Tranquility,Fire Protection Total ,308382,312136,297836,309760,316212,316540,325686,296299,340343,316723,327121,341371,312384,329558,354253,359898,na,355938,362625,375843,409857,411364,387630,394303,430783,449851,463083,417378,449055,412896,410475,409939,428291,426341,432001
8,combined,,row,,Number of Employees,Fire Protection Total ,Fire Protection - Firefighters,280973,283354,278647,285704,290857,291000,299447,275037,313037,291687,302369,315713,292426,306242,330824,336315,na,329346,336683,345868,379020,378268,356649,362760,395048,411858,424747,383116,415174,381182,379055,377307,390039,387703,392342
9,combined,,row,,Number of Employees,Fire Protection Total ,Fire Protection - Other ,27409,28782,19189,24056,25355,25540,26239,21262,27306,25036,24752,25658,19958,23316,23429,23583,na,26592,25942,29975,30837,33096,30981,31543,35735,37993,38336,34262,33881,31714,31420,32632,38252,38638,39659
10,combined,,row,,Number of Employees,Establish Justice and Ensure Domestic Tranquility,Corrections,248755,267214,294717,305213,342398,367976,387950,424251,458535,494299,531627,552440,566479,585649,625375,655242,na,708342,723329,715283,728592,747061,748706,747875,748974,755236,765464,779376,796229,801457,783769,771794,752706,754334,757629
11,combined,,row,,Number of Employees,Establish Justice and Ensure Domestic Tranquility,Judicial and Legal,0,0,238330,224522,272862,285751,293555,302981,318365,334117,348103,359453,367249,376398,392055,401476,na,418863,433485,454979,473788,488181,488384,493998,497240,502793,507194,508985,518409,514582,511774,503441,495102,495115,495072
12,combined,subtotal,row,,Number of Employees,Number of Employees,Provide for the Common Defense,3026627,3081560,3132612,3165349,3206919,3252185,3247954,3273666,3198291,3215634,3081529,3004708,2791403,2631223,2492067,2349330,na,2215560,2145034,2098935,2079383,2066903,2092279,2116817,2114658,2085041,2083008,2078356,2125142,2147764,2204963,2230822,2190588,2158683,2082300
13,combined,,row,2,Number of Employees,Provide for the Common Defense,National Defense and International Relations,976000,999000,1024000,1042000,1068762,1101153,1078842,1099449,1060078,1085405,1037824,1019153,984226,926120,881577,831106,na,776998,738204,713232,695045,681787,680645,682440,687822,695647,698040,698805,723385,729222,773978,805709,790966,775999,743813
14,combined,,row,3,Number of Employees,Provide for the Common Defense,Active Duty Military,2050627,2082560,2108612,2123349,2138157,2151032,2169112,2174217,2138213,2130229,2043705,1985555,1807177,1705103,1610490,1518224,na,1438562,1406830,1385703,1384338,1385116,1411634,1434377,1426836,1389394,1384968,1379551,1401757,1418542,1430985,1425113,1399622,1382684,1338487
15,combined,subtotal,row,,Number of Employees,Number of Employees,Promote the General Welfare,3942002,3872971,4223241,3902645,4309995,4391601,4451035,4445070,4605556,4654993,4762672,4789138,4763040,4797796,4885388,4893747,na,4760104,4728623,4808550,4814594,4860353,4822754,4776938,4763809,4775060,4793712,4869854,4897734,4862422,4791012,4707147,4656415,4634069,4658367
16,combined,,row,,Number of Employees,Promote the General Welfare,Highways,563914,534385,530109,531386,543877,552332,553346,528152,558948,560726,572683,567810,541716,560231,564370,563604,na,552125,553581,568945,572763,578177,568028,572198,567124,570617,570206,560350,564682,558774,539928,524588,518863,515052,513940
17,combined,,row,,Number of Employees,Promote the General Welfare,Transit,171985,171149,174094,182028,187791,192635,194956,200180,200667,206237,206791,208240,205969,197662,210007,210266,na,196786,198598,209876,216748,222934,237580,240246,238027,235451,234853,244361,244661,247811,245383,239863,231951,236222,243522
18,combined,,row,,Number of Employees,Promote the General Welfare,Air Transportation,21938,23018,69875,24023,72105,73107,74193,79111,81233,84402,86189,89417,90367,90584,86242,85896,na,86476,88674,90541,91285,93406,98069,95077,93252,91692,92724,95214,96395,96395,97312,96115,95995,95826,94333
19,combined,,row,,Number of Employees,Promote the General Welfare,Water Transport and Terminals       ,13186,13309,28998,13042,27326,28123,27965,28045,28125,27413,26851,27575,27227,27576,27004,27103,na,28418,28203,27188,17921,18323,17308,17527,17537,17596,17591,17855,18880,18561,18434,18535,18340,18445,18239
20,combined,,row,,Number of Employees,Promote the General Welfare,Space Research and Technology,24000,23000,23000,23000,22120,22537,22319,22970,23227,24207,24925,25706,25339,24746,23258,21588,na,19974,19310,18545,18427,18909,18821,18985,19507,18650,18457,18517,18437,18354,18540,18727,18201,17922,17736
21,combined,,row,,Number of Employees,Promote the General Welfare,Public Welfare,394371,387691,411434,396872,420141,431545,443321,443366,463639,476538,499330,502347,503135,517589,526935,525675,na,507122,509453,521128,538226,555255,557534,541227,531907,541180,545203,551138,554318,554290,538206,528794,531493,531752,537538
22,combined,,row,,Number of Employees,Promote the General Welfare,Housing and Community Development,99619,92576,106151,95723,112918,115179,114683,115375,136066,136417,138399,138881,137810,136431,155557,151331,na,140555,136040,141290,141220,140346,141757,141180,136898,138529,138145,135948,135409,131743,131594,129520,128474,129516,124498
23,combined,,row,,Number of Employees,Promote the General Welfare,Health,254174,249389,322883,252055,341877,360539,362427,374112,388231,415601,426447,443479,519814,529370,538478,544354,na,547898,559519,569328,581051,603179,601435,604731,601729,601917,613595,613532,634006,626415,644437,644206,629218,626267,632227
24,combined,,row,,Number of Employees,Promote the General Welfare,Hospitals,1153907,1145686,1344345,1147202,1311447,1292537,1286478,1294456,1305924,1313100,1366573,1374079,1329087,1302300,1310077,1302903,na,1223052,1174551,1175124,1149449,1146707,1139475,1139358,1146008,1154863,1168147,1250743,1273762,1285444,1277451,1258889,1266733,1268174,1290903
25,combined,,row,4,Number of Employees,Promote the General Welfare,Social Insurance Administration (state & local),124352,111763,111950,112060,104704,105801,105416,103163,104466,103393,105293,107195,118143,112896,98832,98267,na,96230,92635,95593,93945,89376,91777,92798,92755,87287,85419,81589,81266,84625,92107,91112,87984,83711,77669
26,combined,,row,,Number of Employees,Promote the General Welfare,Solid Waste Management,127513,120943,113162,112819,112351,113190,114436,105583,113859,111343,113050,114365,112680,116227,117342,115324,na,114619,115505,116574,119401,122800,120256,118986,117648,121948,119856,118521,123161,118562,116218,112111,113531,113268,113306
27,combined,,row,,Number of Employees,Promote the General Welfare,Sewerage,99243,100572,101548,102940,108229,107408,111300,108341,115996,119038,124530,126696,123708,123264,129469,129580,na,129180,131197,129803,134726,134473,132809,133928,135726,137374,137964,135066,135857,132778,130230,129645,130643,133186,133151
28,combined,,row,,Number of Employees,Promote the General Welfare,Water Supply,133605,133627,127046,138310,134728,139013,140660,134411,146743,148815,150224,153898,150734,157834,165037,165415,na,164374,167167,169424,173181,175988,170072,173934,175373,177980,179174,177706,185737,180673,179887,179713,179161,183099,181092
29,combined,,row,,Number of Employees,Promote the General Welfare,Electric Power,70519,72955,70114,75582,77364,78736,80520,79259,82174,80457,82425,83575,82326,83749,84575,82147,na,79689,78508,79159,80491,79197,78309,80713,80415,79528,78725,79697,80907,80344,80286,80166,79894,79258,78452
30,combined,,row,,Number of Employees,Promote the General Welfare,Gas Supply,9555,11862,9096,12080,9660,10090,9996,9179,10065,10265,10347,10248,9868,10384,10477,10630,na,9850,10240,11045,12299,12390,10746,11226,11085,13311,12867,12572,12013,11955,11187,10882,11472,11394,11285
31,combined,,row,,Number of Employees,Promote the General Welfare,Postal Service,664000,665000,664000,669000,709252,754335,794693,806685,833671,824817,816448,803465,774028,796166,827270,849379,na,854393,856732,876495,864764,860086,829587,785865,789777,778360,772125,767879,728820,703861,658016,632471,602920,579694,578493
32,combined,,row,,Number of Employees,Promote the General Welfare,State liquor stores,16121,16046,15436,14523,14105,14494,14326,12682,12522,12224,12167,12162,11089,10787,10458,10285,na,9363,8710,8492,8697,8807,9191,8959,9041,8777,8661,9166,9423,11837,11796,11810,11542,11283,11983
33,combined,subtotal,row,,Number of Employees,Number of Employees,Secure the Blessings of Liberty to Ourselves and Our Posterity,7694284,7598382,7633854,7605519,7946665,8048402,8172512,8332183,8459076,8638221,8938848,9067111,8967363,9371399,9759499,9824072,na,9950290,10278072,10492651,10776245,10966944,11204429,11461866,11540377,11686306,11901300,12003371,12118343,12263891,12217545,12133580,12033448,11960192,12026351
34,combined,,row,,Number of Employees,Secure the Blessings of Liberty to Ourselves and Our Posterity,Education Total ,6859771,6785639,6745214,6807635,7037265,7119230,7253327,7412040,7524560,7697934,7971425,8085970,7963008,8372273,8735503,8795432,na,8970018,9287027,9497622,9749421,9920677,10148725,10396126,10477585,10619929,10828298,10924627,11028493,11182715,11139179,11072789,10993674,10913994,10979260
