order,government_type,style,type,name,parent,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,federal,expandable,data_table,Number of Employees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,federal,subtotal,row,Establish Justice and Ensure Domestic Tranquility,Number of Employees,,56000,56000,101000,64000,106926,110653,112375,121321,130446,134546,140785,151798,162202,161786,161058,167115,na,176955,185140,191169,193522,197263,203099,253367,255936,254080,255812,263840,275658,277436,283321,291301,293065,292990,285239
3,federal,,row,Judicial and legal,Establish Justice and Ensure Domestic Tranquility,,0,0,29000,0,31216,33168,33584,35668,37808,39733,43285,47451,50768,50722,50872,52535,na,52636,54447,56099,56222,57953,59576,61984,60902,61395,58903,60742,62003,62097,63159,64348,62756,62233,60598
4,federal,,row,Police protection total,Establish Justice and Ensure Domestic Tranquility,,56000,56000,62000,64000,65173,66024,66735,72793,78755,78702,78594,82806,87616,86229,84048,86087,na,94510,100257,104096,105638,106337,109278,156607,160073,157492,161013,166444,176885,178537,182573,188642,192354,192213,185630
5,federal,,row,Fire protection total,Establish Justice and Ensure Domestic Tranquility,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,federal,,row,Corrections,Establish Justice and Ensure Domestic Tranquility,,0,0,10000,0,10537,11461,12056,12860,13883,16111,18906,21541,23818,24835,26138,28493,na,29809,30436,30974,31662,32973,34245,34776,34961,35193,35896,36654,36770,36802,37589,38311,37955,38544,39011
7,federal,subtotal,row,Provide for the Common Defense,Number of Employees,,3026627,3081560,3132612,3165349,3206919,3252185,3247954,3273666,3198291,3215634,3081529,3004708,2791403,2631223,2492067,2349330,na,2215560,2145034,2098935,2079383,2066903,2092279,2116817,2114658,2085041,2083008,2078356,2125142,2147764,2204963,2230822,2190588,2158683,2082300
8,federal,,row,Active Duty Military,Provide for the Common Defense,2,2050627,2082560,2108612,2123349,2138157,2151032,2169112,2174217,2138213,2130229,2043705,1985555,1807177,1705103,1610490,1518224,na,1438562,1406830,1385703,1384338,1385116,1411634,1434377,1426836,1389394,1384968,1379551,1401757,1418542,1430985,1425113,1399622,1382684,1338487
9,federal,,row,National defense and international relations,Provide for the Common Defense,3,976000,999000,1024000,1042000,1068762,1101153,1078842,1099449,1060078,1085405,1037824,1019153,984226,926120,881577,831106,na,776998,738204,713232,695045,681787,680645,682440,687822,695647,698040,698805,723385,729222,773978,805709,790966,775999,743813
10,federal,subtotal,row,Promote the General Welfare,Number of Employees,,693000,692000,1038000,696000,1085839,1132380,1168074,1189129,1231468,1227256,1240080,1245399,1228733,1254730,1270070,1282309,na,1267284,1266672,1278829,1241792,1242811,1217239,1176704,1185363,1166130,1164965,1176401,1165490,1144917,1116532,1103984,1076207,1056023,1066427
11,federal,,row,Space research and technology,Promote the General Welfare,,24000,23000,23000,23000,22120,22537,22319,22970,23227,24207,24925,25706,25339,24746,23258,21588,na,19974,19310,18545,18427,18909,18821,18985,19507,18650,18457,18517,18437,18354,18540,18727,18201,17922,17736
12,federal,,row,Highways,Promote the General Welfare,,5000,4000,4000,4000,3610,3625,3581,3773,3795,3729,3855,3980,4110,3998,3687,3671,na,3639,3598,3412,3367,2788,2884,2926,2864,2847,2831,2824,2846,2832,2941,2973,2908,2874,2883
13,federal,,row,Water transport and terminals,Promote the General Welfare,,0,0,16000,0,14342,14934,14713,15018,15094,14819,14146,14735,14725,14781,14555,14882,na,15037,14890,14194,4999,5003,5030,5106,4815,4812,4574,4486,4513,4628,5010,5041,4772,4612,4493
14,federal,,row,Air transportation,Promote the General Welfare,,0,0,47000,0,47412,47225,46658,48043,49308,51259,51762,54159,53937,52848,49282,48508,na,48276,49350,49766,48954,48988,52187,49090,47334,44786,44792,45672,46920,47070,48525,48348,47805,47216,45063
15,federal,,row,Public welfare,Promote the General Welfare,,0,0,12000,0,13613,13350,13609,13609,13663,13900,10053,10192,10385,10475,9882,9752,na,9204,8872,8950,9028,9122,8964,8917,8885,8769,8307,8364,8138,8127,8341,9296,9341,9993,9687
16,federal,,row,Housing and community development,Promote the General Welfare,,0,0,16000,0,14006,13071,12845,14149,30103,28934,27498,29617,28006,27464,25088,19845,na,17981,16465,16751,16694,16726,16566,16844,16572,16118,15984,15352,15531,15156,15397,15269,14247,12882,12227
17,federal,,row,Health,Promote the General Welfare,,0,0,75000,0,76174,72699,71756,74212,74845,76380,70231,75356,144339,146115,143135,141061,na,135737,136023,134893,130498,133018,134627,134186,137062,134422,136200,140703,150309,152013,158439,163096,164127,165250,169130
18,federal,,row,Hospitals,Promote the General Welfare,,0,0,181000,0,185310,190604,187900,190670,187762,189211,221162,228189,173864,178137,173913,173623,na,163043,161432,155823,145061,148171,148573,154785,158547,157366,161695,172604,189976,192876,201323,208763,211886,215580,226715
19,federal,,row,Postal service,Promote the General Welfare,,664000,665000,664000,669000,709252,754335,794693,806685,833671,824817,816448,803465,774028,796166,827270,849379,na,854393,856732,876495,864764,860086,829587,785865,789777,778360,772125,767879,728820,703861,658016,632471,602920,579694,578493
20,federal,subtotal,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Number of Employees,,310000,295000,382000,270000,372587,366186,353470,358225,340574,338028,334678,347236,346802,339329,331067,321430,na,299730,292455,290825,289092,290648,300569,304837,299335,294895,289723,289046,286961,285081,297050,300716,291846,283859,271503
21,federal,,row,Education Total,Secure the Blessings of Liberty to Ourselves and Our Posterity,,19000,18000,16000,16000,15402,14762,14078,14624,14218,14164,12928,13575,13790,13462,12999,12461,na,11349,11303,11243,11049,11014,11296,11140,11120,10746,10418,10271,10107,9992,10218,10519,10473,9947,9374
22,federal,,row,Libraries,Secure the Blessings of Liberty to Ourselves and Our Posterity,,0,0,0,0,5319,5234,4811,4985,4855,4793,4599,4956,4945,4701,4598,4554,na,4438,4376,4354,4367,4284,6247,4442,4335,4200,4002,3883,3871,3871,3871,3871,3871,3871,3380
23,federal,,row,Social insurance administration,Secure the Blessings of Liberty to Ourselves and Our Posterity,,0,0,90000,0,84103,82936,78559,72461,70550,68509,67342,69697,68787,67961,68637,68393,na,69253,67437,66546,65479,65528,66276,67982,67048,67625,65218,63690,65620,64954,68757,70754,67162,65710,62708
24,federal,,row,Parks and recreation,Secure the Blessings of Liberty to Ourselves and Our Posterity,,0,0,19000,0,22262,21998,21372,23576,24139,24319,24476,26334,27156,27268,26995,25690,na,23852,24314,24711,24882,25171,25719,27453,25127,24781,25872,24442,25063,25464,27113,27339,26858,25926,24354
25,federal,,row,Natural resources,Secure the Blessings of Liberty to Ourselves and Our Posterity,,291000,277000,257000,254000,245501,241256,234650,242579,226812,226243,225333,232674,232124,225937,217838,210332,na,190838,185025,183971,183315,184651,191031,193820,191705,187543,184213,186760,182300,180800,187091,188233,183482,178405,171687
26,federal,subtotal,row,General Government and Other,Number of Employees,,599000,566000,302000,546000,307964,311039,306614,322546,349590,328958,352073,339045,324910,317074,307996,293315,na,286110,282743,325045,479912,285093,290599,299732,305413,309711,312149,301958,317392,387121,537057,352541,340652,336060,333486
27,federal,,row,Financial administration,General Government and Other,,110000,106000,104000,108000,115117,117841,121026,134238,142563,134497,139684,146763,137744,132401,133798,131319,na,139363,134202,136655,136783,137065,141250,115172,113166,110296,111715,109298,110223,124059,128114,128116,118995,117151,117151
28,federal,,row,Other government administration,General Government and Other,,65000,64000,31000,62000,32085,31540,28783,27519,27580,28088,27573,29029,28966,28783,25661,23691,na,22274,22073,21971,22249,21667,22334,22021,22376,24009,23719,24487,24615,24611,25361,25479,24722,24352,24135
29,federal,,row,All other and unallocable,General Government and Other,,424000,396000,167000,376000,160762,161658,156805,160789,179447,166373,184816,163253,158200,155890,148537,138305,na,124473,126468,166419,320880,126361,127015,162539,169871,175406,176715,168173,182554,238451,383582,198946,196935,194557,192200
30,federal,,total_row,Total Employees,Number of Employees,,4684627,4690560,4955612,4741349,5080235,5172443,5188487,5264887,5250369,5244422,5149145,5088186,4854050,4704142,4562258,4413499,na,4245639,4172044,4184803,4283701,4082718,4103785,4151457,4160705,4109857,4105657,4109601,4170643,4242319,4438923,4279364,4192358,4127615,4038955
31,federal,,footnotes,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,federal,,footnote,1)  Employment as of March of each year,Footnotes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,federal,,footnote,"2) Active duty military are as of September of each year, reserves are not included",Footnotes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,federal,,footnote,3) Civilian Military Employees are included in National Defense and International Relations,Footnotes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
