order,government_type,style,type,name,parent,data_table,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,state_local,expandable,data_table,Number of Employees,,Number of Employees,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,state_local,subtotal,row,Establish Justice and Ensure Domestic Tranquility,Number of Employees,Number of Employees,,1216194,1241973,1461923,1510593,1574028,1619829,1665957,1664025,1790278,1824276,1898346,1945865,1918151,1992017,2103530,2175457,na,2256834,2310685,2372644,2459848,2509605,2482310,2500960,2541019,2584532,2634097,2605545,2684166,2647124,2614021,2593426,2546364,2536142,2551265
3,state_local,,row,Judicial and legal,Establish Justice and Ensure Domestic Tranquility,Number of Employees,,0,0,209330,224522,241646,252583,259971,267313,280557,294384,304818,312002,316481,325676,341183,348941,na,366227,379038,398880,417566,430228,428808,432014,436338,441398,448291,448243,456406,452485,448615,439093,432346,432882,434474
4,state_local,,row,Police protection total,Establish Justice and Ensure Domestic Tranquility,Number of Employees,,659057,662623,670040,671098,684309,694191,704406,689022,724726,734981,753686,761593,746625,775969,808857,839869,na,856136,876129,913612,935495,953925,951411,961544,959885,973240,993155,997202,1019246,1017088,1008751,1010911,970976,961129,966172
5,state_local,,row,Police protection - persons with power of arrest,Police protection total,Number of Employees,,491604,494008,497755,499313,504807,509584,515113,499387,530255,535927,546866,553330,538239,561050,580995,606056,na,623009,637567,662442,676433,686352,683429,688588,688912,698215,714573,715155,734107,733211,727818,735544,710154,708304,714599
6,state_local,,row,Police protection - other,Police protection total,Number of Employees,,167453,168615,172285,171785,179502,184607,189293,189635,194471,199054,206820,208263,208386,214919,227862,233813,na,233127,238562,251170,259062,267573,267982,272956,270973,275025,278582,282047,285139,283877,280933,275367,260822,252825,251573
7,state_local,,row,Fire protection total,Establish Justice and Ensure Domestic Tranquility,Number of Employees,,308382,312136,297836,309760,316212,316540,325686,296299,340343,316723,327121,341371,312384,329558,354253,359898,na,355938,362625,375843,409857,411364,387630,394303,430783,449851,463083,417378,449055,412896,410475,409939,428291,426341,432001
8,state_local,,row,Fire protection - firefighters,Fire protection total,Number of Employees,,280973,283354,278647,285704,290857,291000,299447,275037,313037,291687,302369,315713,292426,306242,330824,336315,na,329346,336683,345868,379020,378268,356649,362760,395048,411858,424747,383116,415174,381182,379055,377307,390039,387703,392342
9,state_local,,row,Fire protection - other,Fire protection total,Number of Employees,,27409,28782,19189,24056,25355,25540,26239,21262,27306,25036,24752,25658,19958,23316,23429,23583,na,26592,25942,29975,30837,33096,30981,31543,35735,37993,38336,34262,33881,31714,31420,32632,38252,38638,39659
10,state_local,,row,Corrections,Establish Justice and Ensure Domestic Tranquility,Number of Employees,,248755,267214,284717,305213,331861,356515,375894,411391,444652,478188,512721,530899,542661,560814,599237,626749,na,678533,692893,684309,696930,714088,714461,713099,714013,720043,729568,742722,759459,764655,746180,733483,714751,715790,718618
