order,government_type,style,type,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,combined,,,,Key Federal Government Business-Like Operations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,combined,summary,data_table,,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,combined,,row,2,Government-Run Businesses Net Expenditures,30647173,32681995,37504758,45616693,31124113,38305575,49983618,48603969,49341780,46875396,44813548,53587089,47424143,29198688,17316524,13038351,9658887,2338445,19507148,31043295,51827279,52500736,49832975,48393012,46256968,55835111,49032761,61013722,89839815,92436453,58461816,70857826,63564054,54091952,39035526,
4,combined,,row,3,Total Revenue,90389077,106317609,230677450,139604759,163931378,159836547,173220763,187950917,202421248,206448876,216176782,252596720,248834552,257832594,265220703,273583228,279706426,289723167,287922920,301563291,311891904,335451597,348503808,359877322,374290444,400048466,432192387,454134057,478109668,523297894,578986548,547931680,562815865,604017262,599210281,
5,combined,,row,3,Total Expenditures,121036250,138999604,268182208,185221452,195055491,198142122,223204381,236554886,251763028,253324272,260990330,306183809,296258695,287031282,282537227,286621579,289365313,292061612,307430068,332606586,363719183,387952333,398336783,408270334,420547412,455883577,481225148,515147779,567949483,615734347,637448364,618789506,626379919,658109214,638245807,
6,combined,expandable,data_table,,Federal Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,combined,,row,6,USPS (in Postal Service),1245551,1431723,154146,1111294,1238828,1351100,758085,1592629,2229465,126798,2115676,1827993,1169276,1601631,1233139,-1839000,-58000,77000,303000,1050000,2129000,2395000,207000,-5169000,-4070000,-1223000,-971000,5197000,2526000,422000,4818000,909000,2744000,-1839000,-2453000,-1610000
8,combined,,row,7,Gross Revenue (offsetting collections in budget),19473344,21144682,23908510,24995003,26749234,29299427,31311546,32681183,36170013,39145535,40347333,44519038,47419390,48322025,49856134,54812000,56838000,58655000,60882000,62943000,64581000,65869000,66688000,68764000,68852000,69948000,71438000,74973000,76136000,69942000,69185000,67591000,66321000,73272000,72978000,74432000
9,combined,,row,7,Gross Expenditure,20718895,22576405,24062656,26106297,27988062,30650527,32069631,34273812,38399478,39272333,42463009,46347031,48588666,49923656,51089273,52973000,56780000,58732000,61185000,63993000,66710000,68264000,66895000,63595000,64782000,68725000,70467000,80170000,78662000,70364000,74003000,68500000,69065000,71433000,70525000,72822000
10,combined,,row,6,Tennessee Valley Authority (in Energy),2554247,2164969,1813383,1029580,488194,1010207,905585,1091168,1088658,-648207,601818,752826,1468929,1629348,1210030,1314000,757000,-337000,-784000,2000,-7000,-691000,117000,267000,-413000,-205000,-380000,-559000,311000,70000,406000,1031000,223000,527000,-1414000,35000
11,combined,,row,10,Gross Revenue (offsetting collections in budget),3272224,3843053,4112282,4339107,4619056,4669375,4857714,5425069,5645886,5617299,6140447,5811780,5760543,5784619,6057744,5524000,6224000,5612000,6718000,6904000,7008000,7398000,7031000,7326000,7657000,7892000,9154000,9547000,10428000,11255000,30943000,36856000,44183000,65280000,47809000,43531000
12,combined,,row,10,Gross Expenditure,5826471,6008022,5925665,5368687,5107250,5679582,5763299,6516237,6734544,4969092,6742265,6564606,7229472,7413967,7267774,6838000,6981000,5275000,5934000,6906000,7001000,6707000,7148000,7593000,7244000,7687000,8774000,8988000,10739000,11325000,31349000,37887000,44406000,65807000,46395000,43566000
13,combined,,row,6,Federal Deposit Insurance Corporation (in Deposit Insurance),-1376483,-1440185,-2925954,-2361448,-6409773,-3839795,-4137730,-6717948,-5858890,-6233226,-8367261,-30911953,-17554893,-19362003,-16033452,-10960000,-6303000,-14674000,-4435000,-5315000,-3232000,-1900000,-860000,-50000,1398000,-1361000,2262000,2392000,-1313000,-22618000,-54612000,-3395000,-2642000,15599000,-2860000,-4908000
14,combined,,row,13,Gross Revenue (offsetting collections in budget),1506561,1807213,3380329,2898145,7089683,4484228,5019788,6578779,6428927,7732920,9733296,31944588,18690074,20069713,17644194,12050000,8708000,16139000,6009000,7637000,6143000,5327000,4632000,4121000,2728000,5480000,2318000,2442000,7456000,34718000,61767000,12930000,12453000,6944000,15143000,15670000
15,combined,,row,13,Gross Expenditure,130078,367028,454375,536697,679910,644433,882058,-139169,570037,1499694,1366035,1032635,1135181,707710,1610742,1090000,2405000,1465000,1574000,2322000,2911000,3427000,3772000,4071000,4126000,4119000,4580000,4834000,6143000,12100000,7155000,9535000,9811000,22543000,12283000,10762000
16,combined,,row,6,Export-Import Bank  (in Foreign Affairs),1836003,2066222,1172539,577923,1067598,-383614,-1166744,-2299986,-894199,47202,357436,-87572,-118918,-746631,-832044,-53000,-561000,-115000,-215000,-194000,-734000,-1771000,-155000,-3275000,-1865000,-800000,-2191000,-1365000,-601000,-362000,262000,-634000,-818000,-604000,-218000,-24000
17,combined,,row,16,Gross Revenue (offsetting collections in budget),2354944,2667024,3108073,3386691,2765337,3653596,3944254,4952576,3007820,2187485,2116346,2514218,1889358,2185277,1788445,1312000,1243000,1300000,940000,1150000,1082000,520000,616000,389000,491000,478000,637000,143000,250000,207000,802000,736000,252000,264000,218000,187000
18,combined,,row,16,Gross Expenditure,4190947,4733246,4280612,3964614,3832935,3269982,2777510,2652590,2113621,2234687,2473782,2426646,1770440,1438646,956401,1259000,682000,1185000,725000,956000,348000,-1251000,461000,-2886000,-1374000,-322000,-1554000,-1222000,-351000,-155000,1064000,102000,-566000,-340000,0,163000
19,combined,,row,6,Other Government-Run Business-Like Operations (in various segments),4933368,5024119,13790218,21013200,13638371,19234384,30401886,30698704,28105329,30622145,25752272,55981829,38689764,25037386,14913428,9353000,5326000,6710000,13096000,21107000,33473000,23579000,17425000,20441000,8738000,20355000,15393000,8984000,30483000,46943000,45060000,18016000,18594000,4552000,9715000,1607000
20,combined,,row,19,Gross Revenue (offsetting collections in budget),14874281,20012168,131017118,31758873,43426198,30727960,34229918,37843595,43397985,33539635,30933858,33039057,30234456,28201232,23662722,24739000,21180000,17522000,17073000,17755000,19127000,22896000,19914375,21571525,22086500,24209530,26993570,26094580,23116680,24353580,25391685,25498780,24283951,29894730,18347000,23045000
21,combined,,row,19,Gross Expenditure,19807649,25036287,144807336,52772073,57064569,49962344,64631804,68542299,71503314,64161780,56686130,89020886,68924220,53238618,38576150,34092000,26506000,24232000,30169000,38862000,52600000,46475000,37339375,42012525,30824500,44564530,42386570,35078580,53599680,71296580,70451685,43514780,42877951,34446730,28062000,24652000
22,combined,,total_row,6,Federal Business Net Expeditures,9192686,9246848,14004332,21370549,10023218,17372282,26761082,24364567,24670363,23914712,20459941,27563123,23654158,8159731,491101,-2185000,-839000,-8339000,7965000,16650000,31629000,21612000,16734000,12214000,3788000,16766000,14113000,14649000,31406000,24455000,-4066000,15927000,18101000,18235000,2770000,-4900000
23,combined,,row,22,Gross Revenue (offsetting collections in budget for certain entities),41481354,49474140,165526312,67377819,84649508,72834586,79363220,87481202,94650631,88222874,89271280,117828681,103993821,104562866,99009239,98437000,94193000,99228000,91622000,96389000,97941000,102010000,98881375,102171525,101814500,108007530,110540570,113199580,117386680,140475580,188088685,143611780,147492951,175654730,154495000,156865000
24,combined,,row,22,Gross Expenditure,50674040,58720988,179530644,88748368,94672726,90206868,106124302,111845769,119320994,112137586,109731221,145391804,127647979,112722597,99500340,96252000,93354000,90889000,99587000,113039000,129570000,123622000,115615375,114385525,105602500,124773530,124653570,127848580,148792680,164930580,184022685,159538780,165593951,193889730,157265000,151965000
25,combined,expandable,data_table,,State & Local Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,combined,,row,25,Airports,675230,645060,567782,478150,839413,626183,802773,1088876,1241955,1057274,1310150,1514959,2317365,2641959,2340211,734358,623541,1072254,936196,2415190,2076441,3648860,3878627,4287336,4662120,3578538,1979785,3501884,3490592,4679038,6142089,3806624,1098129,849148,562376,
27,combined,,row,26,Gross Revenue,1825749,2098012,2296246,2535352,2745041,3117639,3454174,3825118,4108857,4694727,5173476,5718240,5909173,6648199,7074108,7663061,8169769,9055655,9522480,10216941,11083342,11883084,12330615,12758630,13444453,14391302,15446609,16584133,17786857,18074433,18066940,18878396,19783565,20609468,21091319,
28,combined,,row,26,Gross Expenditure,2500979,2743072,2864028,3013502,3584454,3743822,4256947,4913994,5350812,5752001,6483626,7233199,8226538,9290158,9414319,8397419,8793310,10127909,10458676,12632131,13159783,15531944,16209242,17045966,18106573,17969840,17426394,20086017,21277449,22753471,24209029,22685020,20881694,21458616,21653695,
29,combined,,row,25,Toll Highways,-302417,-384989,-494258,-428731,-511136,-615576,-359180,-314929,-94667,-225801,-349700,-286738,-155716,-178045,-159940,-337292,-362871,-392993,-784648,-181827,304865,631748,1472487,2162849,1226060,-56833,-5601545,1119585,4845418,1446936,1561670,-270906,760982,-1071034,-1088168,
30,combined,,row,29,Gross Revenue,1370292,1494587,1599751,1733692,1889952,2097073,2188560,2366557,2594536,2797665,3009720,3332745,3535736,3610924,3797565,4009898,4164407,4498287,4708704,5121914,5493620,5879001,5857697,5956915,6265033,7917380,14223045,8538770,9001092,9460216,9572334,10947976,11622588,13116573,14128478,
31,combined,,row,29,Gross Expenditure,1067875,1109598,1105493,1304961,1378816,1481497,1829380,2051628,2499869,2571864,2660020,3046007,3380020,3432879,3637625,3672606,3801536,4105294,3924056,4940087,5798485,6510749,7330184,8119764,7491093,7860547,8621500,9658355,13846510,10907152,11134004,10677070,12383570,12045539,13040310,
32,combined,,row,25,Parking Facilities,7897,8482,12102,1164,-41939,17784,50588,76197,48030,-41028,-105195,-110378,-108287,-304198,-348536,-292648,-232472,-383541,-386689,-341499,-468076,-388352,-279272,-474046,-204929,-212769,-628769,-589970,-351170,-316272,-1538048,-543183,-680627,-825112,-1044741,
33,combined,,row,32,Gross Revenue,335156,368863,394381,453319,525924,573945,631872,684362,736854,795606,854430,923935,982742,1002090,1077614,1092766,1106646,1195042,1269139,1355459,1373750,1416209,1402243,1448631,1539919,1622321,1674224,2387790,1936705,2040377,3226373,2178147,2573108,2729511,2884738,
34,combined,,row,32,Gross Expenditure,343053,377345,406483,454483,483985,591729,682460,760559,784884,754578,749235,813557,874455,697892,729078,800118,874174,811501,882450,1013960,905674,1027857,1122971,974585,1334990,1409552,1045455,1797820,1585535,1724105,1688325,1634964,1892481,1904399,1839997,
35,combined,,row,25,Transit Systems,5248720,6588902,7642847,8779652,9273434,9375561,9967547,10638656,11242502,11764153,13177189,14220076,15596186,14933696,17442558,18662195,18434491,18391187,19319130,20076522,22917774,23392012,27573942,31570462,33267571,32589976,33726304,34861299,37914967,43714726,44999082,44633892,46035124,47653410,51128629,
36,combined,,row,35,Gross Revenue,2397177,2965041,3526384,3545105,3791715,4216453,4452984,4763315,4766397,5025880,5216117,5628839,5665945,5835235,6256343,6539571,6889245,7421497,7545778,7707741,8048617,8763502,8950133,8984711,9784837,10146019,10876566,11571235,12151238,13029261,13003045,13736809,14528272,14986016,15797878,
37,combined,,row,35,Gross Expenditure,7645897,9553943,11169231,12324757,13065149,13592014,14420531,15401971,16008899,16790033,18393306,19848915,21262131,20768931,23698901,25201766,25323736,25812684,26864908,27784263,30966391,32155514,36524075,40555173,43052408,42735995,44602870,46432534,50066205,56743987,58002127,58370701,60563396,62639426,66926507,
38,combined,,row,25,Sea and Inland Port Facilities,347535,604402,407481,471581,256442,351481,495520,438792,427926,507181,480765,513861,267830,429550,843159,386116,446391,710051,545485,715372,633842,3287358,885917,-365679,939841,502301,578425,894202,780631,1331739,1382453,906743,871603,809051,1271128,
39,combined,,row,38,Gross Revenue,820883,903850,965532,986410,1072896,1141679,1229927,1312318,1413845,1415686,1487613,1534803,1630605,1738683,1785191,1923232,2131166,2099257,2239313,2355006,2506691,2707305,2685135,2930095,3106806,3393968,3698023,3864136,4133206,4018750,3880871,4160159,4407269,4507905,4738955,
40,combined,,row,38,Gross Expenditure,1168418,1508252,1373013,1457991,1329338,1493160,1725447,1751110,1841771,1922867,1968378,2048664,1898435,2168233,2628350,2309348,2577557,2809308,2784798,3070378,3140533,5994663,3571052,2564416,4046647,3896269,4276448,4758338,4913837,5350489,5263324,5066902,5278872,5316956,6010083,
41,combined,,row,25,Liquor Stores,-609147,-552265,-501232,-494696,-498802,-412536,-445981,-422666,-452898,-443669,-514759,-566462,-541830,-579776,-621920,-616976,-633520,-659134,-761322,-698142,-790982,-886172,-882285,-936255,-1099705,-1105067,-1213166,-1220428,-1311677,-1298926,-1357638,-1376209,-1650804,-1842862,-1619002,
42,combined,,row,41,Gross Revenue,3200586,3278491,3342945,3311096,3239685,3235492,3312571,3358367,3290163,3315189,3440572,3571165,3631806,3641321,3606516,3637179,3732273,3894801,4107326,4244671,4591830,4854250,5065107,5338191,5772609,5990305,6422563,6823097,7242295,7585294,7716382,7932837,8349602,8141076,8502864,
43,combined,,row,41,Gross Expenditure,2591439,2726226,2841713,2816400,2740883,2822956,2866590,2935701,2837265,2871520,2925813,3004703,3089976,3061545,2984596,3020203,3098753,3235667,3346004,3546529,3800848,3968078,4182822,4401936,4672904,4885238,5209397,5602669,5930618,6286368,6358744,6556628,6698798,6298214,6883862,
44,combined,,row,25,Lotteries,-1029796,-1216762,-1630330,-2027139,-2684522,-3523411,-4690624,-4842790,-5654352,-7059265,-7485308,-7664880,-7844161,-8826523,-9794293,-10809971,-11811550,-12100219,-12095577,-12324788,-12156586,-12022163,-13263260,-13853904,-15099262,-15675487,-16995089,-17749751,-18252970,-17741160,-17815384,-18227379,-19736863,-20418338,-20987366,
45,combined,,row,44,Gross Revenue,1160083,1349286,1794036,2282040,2968745,3886934,5247110,5506682,6507905,8039681,8605902,8838402,9048833,10246584,11353234,12522169,13607990,14002940,14048731,14359583,14415425,14380535,15853923,16643889,17250038,17795292,19234179,20078057,20676630,20218087,20409051,20902157,22540766,23670241,24098843,
46,combined,,row,44,Gross Expenditure,130287,132524,163706,254901,284223,363523,556486,663892,853553,980416,1120594,1173522,1204672,1420061,1558941,1712198,1796440,1902721,1953154,2034795,2258839,2358372,2590663,2789985,2150776,2119805,2239090,2328306,2423660,2476927,2593667,2674778,2803903,3251903,3111477,
47,combined,,row,25,Public Hospitals,5351753,4607346,5574218,6761092,6563867,7403874,7508709,7616632,9170117,9304547,9348662,9317039,5197166,5146026,2876132,2537463,1829253,189439,1773144,2218035,3952878,2644936,2906344,3599804,4067421,4276601,5924929,7993441,14034845,15441568,13719138,14597376,14162596,10631900,12505424,
48,combined,,row,47,Gross Revenue,12732887,14759904,17372088,19243593,20553735,21496444,22829942,24155753,26128715,28744864,31113880,33712542,38092820,41141163,44210613,46969622,50544099,49564848,50651782,51610383,54619355,59518395,65404087,68926691,73273341,79022342,83932749,91928359,97983048,107225828,113338901,118735447,122969125,128461757,133385006,
49,combined,,row,47,Gross Expenditure,18084640,19367250,22946306,26004685,27117602,28900318,30338651,31772385,35298832,38049411,40462542,43029581,43289986,46287189,47086745,49507085,52373352,49754287,52424926,53828418,58572233,62163331,68310431,72526495,77340762,83298943,89857678,99921800,112017893,122667396,127058039,133332823,137131721,139093657,145890430,
50,combined,,row,25,Gas and Electric Utilities,1983966,2216364,1708481,1122151,-175766,-603633,629495,-1226990,-2575341,-3538754,-3832537,-4764614,-4262831,-5046003,-5189453,-5754958,-6652537,-6401882,-6715744,-7625171,-7634397,-642368,-3546137,-4599194,-1371072,-4925850,-3762181,-2284722,-1273401,-2221545,-3485174,-3750466,-5148262,-5191609,-6682265,
51,combined,,row,50,Gross Revenue,13195932,15934472,18698221,20869790,23115202,25340378,26136995,27643301,29144706,31116488,32311610,33502125,34397503,35318875,37520134,38215064,39271287,40005844,42000582,45133608,46390080,56048022,60165554,59329069,63286229,66093482,74300077,78960159,81550599,87639065,84711175,84805482,82902578,82184296,85410721,
