order,government_type,style,type,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,combined,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,combined,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,770234475,886091027,928593522,943487780,1049722301,1156591168,1232437055,1363313105,1433268181,1550889931,1639391158,1679769412,1776447330,1882619100,2017584478,2162181048,2330558229,2543821543,2774177695,2915303245,3216311901,3063051086,2785577241,2903951582,3323158594,3643024514,4040386568,4485053666,3948796423,2932360080,3935840633,4283234817,4103225645,4780262698,5217217757
3,combined,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,843131868,963151214,1052397034,1147884485,1216490034,1344459137,1430942657,1494595173,1583168509,1697454353,1859594481,1981434370,2039470040,2092945496,2168757684,2277422696,2342886840,2436500523,2535184838,2640062772,2806424335,2959223291,3189285423,3390500861,3582440073,3829579609,4070409494,4277105002,4653747445,5245710788,5134912032,5300742537,5329369476,5272690333,5385587977
4,combined,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,-72897393,-77060187,-123803512,-204396705,-166767733,-187867969,-198505602,-131282068,-149900328,-146564422,-220203323,-301664958,-263022710,-210326396,-151173206,-115241648,-12328611,107321020,238992857,275240473,409887566,103827795,-403708182,-486549279,-259281479,-186555095,-30022926,207948664,-704951022,-2313350708,-1199071399,-1017507720,-1226143831,-492427635,-168370220
5,combined,expandable,data_table,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,combined,,total_row,Revenue,Revenue,Total Revenue,770234475,886091027,928593522,943487780,1049722301,1156591168,1232437055,1363313105,1433268181,1550889931,1639391158,1679769412,1776447330,1882619100,2017584478,2162181048,2330558229,2543821543,2774177695,2915303245,3216311901,3063051086,2785577241,2903951582,3323158594,3643024514,4040386568,4485053666,3948796423,2932360080,3935840633,4283234817,4103225645,4780262698,5217217757
7,combined,,row,Revenue,Revenue,Tax Revenue,726848652,829128064,867460743,869673489,970680686,1067850101,1124741712,1242995483,1329261443,1441799788,1511709993,1563333694,1631203367,1737426227,1869571680,1992644648,2125103760,2291763005,2475128747,2620898139,2869087568,2883131885,2742277241,2707023994,2880998625,3243612536,3594023134,3831156635,3832957599,3365355466,3376897717,3576988860,3765899821,4159230411,4411212655
8,combined,,row,Revenue,Tax Revenue,Individual Income Taxes,286148662,332343526,348482656,344066741,363286781,404892421,423324323,476491743,489530608,543495979,572524024,577168275,591528329,632915522,671864672,728174595,803259248,896535891,1004216035,1068788854,1216122682,1220672547,1061177254,993106020,1024173769,1169495042,1312575132,1453750113,1450649076,1186249521,1160059473,1376766135,1439461616,1655114576,1735703706
9,combined,,row,Revenue,Tax Revenue,Payroll Taxes,155537189,180497726,199365036,207644920,238314793,264703685,283912398,303887951,335768060,361556549,382955992,399313772,417621876,432829147,466012437,489111000,513821000,544133000,577208000,617389000,658744000,700289000,708405000,721624000,743408000,804682000,849320000,881942000,913555000,906005000,880923000,835290000,862646000,965755000,1040773000
10,combined,,row,Revenue,Payroll Taxes,Social Security,114412955,131605620,145112894,149098287,168118948,188679481,203085310,216701396,245561890,268188263,286722389,299295400,308164762,318009717,341098090,357219000,373460000,398173000,422569000,451589000,488212000,515420000,524199000,533444000,545346000,588417000,620007000,647388000,671183000,668235000,646623000,580887000,585093000,689442000,751302000
