order,government_type,style,type,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,federal,,,,Federal Revenue,"Billions of Dollars, Not Adjusted for Inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,federal,expandable,data_table,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,federal,,total_row,Revenue,Total Revenue,518946872,607188009,621882747,609704629,672070418,739119402,773882284,860753770,914218578,996174324,1037870377,1061436469,1097640045,1161648845,1266104830,1366490000,1461543000,1599711000,1739427000,1837859000,2035813000,2005622000,1865806000,1795989000,1895221000,2170474000,2425762000,2600783000,2557455000,2142059000,2183895000,2328751000,2486917000,2804500000,3047497000,3301773000
4,federal,,row,Revenue,Tax Revenue,502098232,583260450,599471949,583612463,648581471,715373012,749499559,835781635,890962612,970633720,1007664832,1035658309,1068875036,1140461850,1241053248,1328962000,1432989000,1559731000,1697388000,1801929000,1992921000,1965080000,1832397000,1762244000,1864142000,2138765000,2381513000,2540386000,2495889000,2076361000,2091050000,2225969000,2370603000,2700463000,2912615000,3129258000
5,federal,,row,Tax Revenue,Individual Income Taxes,244068898,285917100,297744492,288937814,298415430,334531018,348959411,392557016,401181069,445690230,466884287,467827443,475963502,509680116,543054752,590244000,656417000,737466000,828586000,879480000,1004462000,994339000,858345000,793699000,808959000,927222000,1043908000,1163472000,1145747000,915308000,898549000,1091473000,1132206000,1316405000,1394568000,1540802000
6,federal,,row,Individual Income Taxes,Portion from long-term capital gains (estimate from Treasury - adjusted FY),12106000,12655500,12876000,15800000,20076500,23956500,39687000,43314000,36290000,37062000,31543500,26366000,26943000,32547500,36177500,40248500,55325000,72850500,84187000,100445000,119559000,96482500,57395000,50231000,62276500,87693500,109983500,127467000,102966000,52738500,45851500,55849500,73930000,94988000,118962500,
7,federal,,row,Tax Revenue,Payroll Taxes,155537189,180497726,199365036,207644920,238314793,264703685,283912398,303887951,335768060,361556549,382955992,399313772,417621876,432829147,466012437,489111000,513821000,544133000,577208000,617389000,658744000,700289000,708405000,721624000,743408000,804682000,849320000,881942000,913555000,906005000,880923000,835290000,862646000,965755000,1040773000,1082461000
8,federal,,row,Payroll Taxes,Social Security,114412955,131605620,145112894,149098287,168118948,188679481,203085310,216701396,245561890,268188263,286722389,299295400,308164762,318009717,341098090,357219000,373460000,398173000,422569000,451589000,488212000,515420000,524199000,533444000,545346000,588417000,620007000,647388000,671183000,668235000,646623000,580887000,585093000,689442000,751302000,786380000
9,federal,,row,Social Security,Retirement,97607697,119016123,124246445,130506498,152163541,172110010,185125526,197552022,224052691,244721652,259617763,270388319,278317434,287224064,308089951,289300000,316932000,342044000,364627000,389705000,418212000,440811000,448132000,456013000,466181000,502998000,530006000,553415000,573750000,571228000,552761000,496591000,500114000,589375000,642244000,672227000
10,federal,,row,Social Security,Disability,16805258,12589497,20866449,18591789,15955407,16569471,17959784,19149374,21509199,23466611,27104626,28907081,29847328,30785653,33008139,67919000,56528000,56129000,57942000,61884000,70000000,74609000,76067000,77431000,79165000,85419000,90001000,93973000,97433000,97007000,93862000,84296000,84979000,100067000,109058000,114153000
11,federal,,row,Payroll Taxes,Railroad Retirement,2322877,2457238,2917475,2804784,3321050,3604883,3498038,3633923,3742809,3797284,3679227,3798927,3956741,3781142,3722269,3942000,3872000,4051000,4352000,4144000,4338000,4272000,4177000,3953000,4026000,4120000,4232000,4261000,4433000,4213000,4139000,4238000,4283000,4901000,5357000,5866000
12,federal,,row,Payroll Taxes,Medicare,23465569,30671920,34698279,36695215,41567575,46319507,52939476,57692391,61663468,67316730,70601937,74958383,81345902,83517522,92421573,98412000,107306000,113105000,122295000,134773000,138157000,152353000,151962000,150235000,153839000,169370000,180833000,188446000,197690000,194598000,184110000,192515000,205236000,213448000,228159000,238262000
13,federal,,row,Payroll Taxes,Unemployment Insurance,15335788,15762948,16636388,19046634,25307220,26099814,24389574,25860241,24799893,22254272,21952439,21261062,24154471,27520766,28770505,29538000,29183000,28804000,27992000,26883000,28037000,28244000,28067000,33992000,40197000,42775000,44248000,41847000,40249000,38959000,46051000,57650000,68034000,57964000,55955000,51953000
14,federal,,row,Tax Revenue,Corporate Income Taxes,64599673,61137136,49206969,37021566,56892983,61330690,63143307,83925770,94508098,103291115,93506698,98085822,100270366,117520182,140384725,157004000,171824000,182293000,188677000,184680000,207289000,151075000,148044000,131778000,189371000,278282000,353915000,370243000,304346000,138229000,191437000,181085000,242289000,273506000,320731000,343797000
15,federal,,row,Tax Revenue,Excise Taxes,24329156,40839143,36310764,35300063,37361427,35991683,32918545,32457474,35226868,34385794,35345204,42402120,45569482,48057224,55224799,57484000,54014000,56924000,57673000,70414000,68865000,66232000,66989000,67524000,69855000,73094000,73961000,65069000,67334000,62483000,66909000,72381000,79061000,84007000,93368000,98279000
16,federal,,row,Tax Revenue,Estate and Gift Taxes,6389480,6786537,7990595,6053368,6010472,6422489,6957626,7492640,7594256,8745225,11500285,11138019,11143439,12576558,15224518,14763000,17189000,19845000,24076000,27782000,29010000,28400000,26507000,21959000,24831000,24764000,27877000,26044000,28844000,23482000,18885000,7399000,13973000,18912000,19300000,19232000
17,federal,,row,Tax Revenue,Customs Duties,7173836,8082808,8854093,8654732,11370044,12078567,13326653,15085039,16198125,16333533,16707311,15949168,17359439,18802080,20098865,19301000,18670000,17928000,18297000,18336000,19914000,19369000,18602000,19862000,21083000,23379000,24810000,26010000,27568000,22453000,25298000,29519000,30307000,31815000,33926000,35041000
18,federal,,row,Tax Revenue,Other Taxes,0,0,0,0,216322,314880,281619,375745,486136,631274,765055,941965,946932,996543,1053152,1055000,1054000,1142000,2871000,3848000,4637000,5376000,5505000,5798000,6635000,7342000,7722000,7606000,8495000,8401000,9049000,8822000,10121000,10063000,9949000,9646000
19,federal,,row,Revenue,Non-Tax Revenue,16848640,23927559,22410798,26092166,23488947,23746390,24382725,24972135,23255966,25540604,30205545,25778160,28765009,21186995,25051582,37528000,28554000,39980000,42039000,35930000,42892000,40542000,33409000,33745000,31079000,31709000,44249000,60397000,61566000,65698000,92845000,102782000,116314000,104037000,134882000,172515000
20,federal,,row,Non-Tax Revenue,Sales of Government Resources,4100870,10137986,6249621,10491496,6693547,5541880,4715974,5896066,3547691,2929212,3004086,3150243,2498255,2784562,3001438,10062000,4083000,15717000,12322000,4851000,4730000,8218000,5025000,5029000,5106000,6306000,7394000,20463000,20064000,21982000,5080000,8787000,19597000,11462000,8695000,34683000
