order,government_type,style,type,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,state_local,,,,,,"Billions of Dollars, Not Adjusted for Inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,state_local,,,,,Revenue State & Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,state_local,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,state_local,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,332580232,367340355,392213609,422041154,472883073,521673966,569569897,614986381,634019063,677622906,735090836,768994038,854279410,916006055,963324410,1020787563,1099985730,1184854271,1286252899,1344236247,1468419578,1377156539,1275929976,1491940790,1846421945,1906488461,2060699366,2337460033,1857107202,1315990670,2366370265,2591873958,2197279318,2555340470,2768561581
5,state_local,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,331647901,365432410,388040231,418635720,454283466,497234344,546848656,596538937,628741437,671548374,734258445,801421255,826981477,871281434,911311398,972077211,1004883341,1055649251,1116530042,1194605774,1294773012,1401564744,1521880158,1600905069,1692976424,1774697556,1842541292,1968810369,2103505224,2216653378,2271068664,2309791678,2336460149,2368224105,2452304801
6,state_local,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,932331,1907945,4173378,3405434,18599607,24439622,22721241,18447444,5277626,6074532,832391,-32427217,27297933,44724621,52013012,48710352,95102389,129205020,169722857,149630473,173646566,-24408205,-245950182,-108964279,153445521,131790905,218158074,368649664,-246398022,-900662708,95301601,282082280,-139180831,187116365,316256780
7,state_local,expandable,data_table,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,state_local,,total_row,Revenue,Revenue,Total Revenue,332580232,367340355,392213609,422041154,472883073,521673966,569569897,614986381,634019063,677622906,735090836,768994038,854279410,916006055,963324410,1020787563,1099985730,1184854271,1286252899,1344236247,1468419578,1377156539,1275929976,1491940790,1846421945,1906488461,2060699366,2337460033,1857107202,1315990670,2366370265,2591873958,2197279318,2555340470,2768561581
9,state_local,,row,Revenue,Revenue,Tax Revenue,224750420,245867614,267988794,286061026,322099215,352477089,375242153,407213848,438298831,471166068,504045161,527675385,562328331,596964377,628518432,663682648,692114760,732032005,777740747,818969139,876166568,918051885,909880241,944779994,1016856625,1104847536,1212510134,1290770635,1337068599,1288994466,1285847717,1351019860,1395296821,1458767411,1498597655
10,state_local,,row,Revenue,Tax Revenue,Individual Income Taxes,42079764,46426426,50738164,55128927,64871351,70361403,74364912,83934727,88349539,97805749,105639737,109340832,115564827,123235406,128809920,137930595,146842248,159069891,175630035,189308854,211660682,226333547,202832254,199407020,215214769,242273042,268667132,290278113,304902076,270941521,261510473,285293135,307255616,338709576,341135706
