order,government_type,style,type,data_table,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,,,,,,,"Billions of Dollars, Not Adjusted for inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,federal,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,518947,607188,621883,609705,672070,739119,773882,860754,914219,996174,1037870,1061436,1097640,1161649,1266105,1366490,1461543,1599711,1739427,1837859,2035813,2005622,1865806,1795989,1895221,2170474,2425762,2600783,2557455,2142059,2183895,2328751,2486917,2804500,3047497
,federal,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,592777,686156,749860,817507,857438,951427,995109,1010483,1069397,1148813,1258906,1330674,1387961,1416700,1469291,1530442,1568974,1621595,1670157,1712249,1799572,1877386,2023564,2173574,2307948,2488820,2673943,2761484,3016008,3554747,3478268,3628341,3573880,3484044,3532124
,federal,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,-73830,-78968,-127977,-207802,-185367,-212308,-221227,-149730,-155178,-152639,-221036,-269238,-290321,-255051,-203186,-163952,-107431,-21884,69270,125610,236241,128236,-157758,-377585,-412727,-318346,-248181,-160701,-458553,-1412688,-1294373,-1299590,-1086963,-679544,-484627
2,,expandable,data_table,,,Spending By Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,federal,,row,Spending By Function,Spending By Function,Personnel and Compensation,117220,132586,144624,153621,163591,172180,180127,189193,202347,213025,226533,241021,250126,255242,258345,260853,263748,268997,274372,281576,295155,307453,329481,361905,387741,412494,432428,451477,471885,499401,521292,537028,533622,534214,539075
4,federal,,row,Spending By Function,Personnel and Compensation,Past Employees,27262,32082,35182,37448,39139,39637,42538,44737,48075,50489,53444,57566,59359,61894,64352,67494,69926,73390,75694,77495,79654,83385,86379,92475,96894,103040,109368,115654,121154,130937,132807,138511,135784,144300,148684
5,federal,,row,Spending By Function,Personnel and Compensation,Present Employees (employer payroll tax + wages/salaries + non-pension supplements),93676,104488,113654,120602,129033,137302,142330,149171,158931,167082,177611,188023,195555,198153,198654,197909,198291,200025,203011,208554,220262,228781,247696,274061,295441,313913,327418,340081,354900,372607,392582,402552,401578,393478,393863
6,federal,,row,Spending By Function,Present Employees (employer payroll tax + wages/salaries + non-pension supplements),Civilian,63058,68824,72884,76801,84390,87534,89405,94086,101311,107840,115003,122683,128860,133376,137421,138362,141130,142037,144826,149311,158986,163117,172837,183839,197477,207206,214452,227035,231854,243315,258247,266908,267324,263565,267157
7,federal,,row,Spending By Function,Present Employees (employer payroll tax + wages/salaries + non-pension supplements),Military,30618,35664,40770,43801,44643,49768,52925,55086,57620,59243,62608,65340,66695,64777,61234,59548,57161,57988,58185,59243,61276,65664,74859,90222,97964,106707,112966,113046,123046,129292,134335,135644,134254,129913,126706
8,federal,,row,Spending By Function,Personnel and Compensation,Offset for Employee Contributions to Own Retirement/Disability Fund,-3719,-3984,-4212,-4429,-4580,-4759,-4742,-4715,-4658,-4546,-4522,-4568,-4788,-4805,-4661,-4550,-4469,-4418,-4333,-4473,-4761,-4713,-4594,-4631,-4594,-4459,-4358,-4258,-4169,-4143,-4097,-4035,-3740,-3564,-3472
