order,government_type,style,type,data_table,parent,name,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,combined,,,,,,,"Billions of Dollars, Not Adjusted for Inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,combined,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,combined,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,,770234475,886091027,928593522,943487780,1049722301,1156591168,1232437055,1363313105,1433268181,1550889931,1639391158,1679769412,1776447330,1882619100,2017584478,2162181048,2330558229,2543821543,2774177695,2915303245,3216311901,3063051086,2785577241,2903951582,3323158594,3643024514,4040386568,4485053666,3948796423,2932360080,3935840633,4283234817,4103225645,4780262698,5217217757
5,combined,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,,843131868,963151214,1052397034,1147884485,1216490034,1344459137,1430942657,1494595173,1583168509,1697454353,1859594481,1981434370,2039470040,2092945496,2168757684,2277422696,2342886840,2436500523,2535184838,2640062772,2806424335,2959223291,3189285423,3390500861,3582440073,3829579609,4070409494,4277105002,4653747445,5245710788,5134912032,5300742537,5329369476,5272690333,5385587977
6,combined,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,,-72897393,-77060187,-123803512,-204396705,-166767733,-187867969,-198505602,-131282068,-149900328,-146564422,-220203323,-301664958,-263022710,-210326396,-151173206,-115241648,-12328611,107321020,238992857,275240473,409887566,103827795,-403708182,-486549279,-259281479,-186555095,-30022926,207948664,-704951022,-2313350708,-1199071399,-1017507720,-1226143831,-492427635,-168370220
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,combined,expandable,data_table,,,Spending By Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,combined,,row,Spending By Mission,Spending By Mission,Establish Justice and Ensure Domestic Tranquility,,48758016,54127417,59449685,65632402,71884763,79131432,86031485,93740415,102980190,111824716,125848854,136556207,148007633,154148101,164741040,178821940,187039725,199046148,210544557,226577937,241639888,257981589,280468660,291611461,304969078,310956434,352519465,347393549,365578875,386686672,382373434,380572305,382769276,396340066,395968520
10,combined,,row,Spending By Mission,Establish Justice and Ensure Domestic Tranquility,Crime and Disaster,,33205486,36352081,40191737,46154596,50636250,55968221,61851022,67225296,74529963,80562032,91667736,99132134,107355517,111686117,118435168,128217020,135984551,145270227,153508077,164689988,175242621,186569389,200784400,209081544,223899321,231504657,271415087,263464290,277786895,293870557,290436646,291613127,294049963,306510117,302686131
