order,government_type,style,type,data_table,parent,name,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,federal,,,,,Federal Spending By Mission,,"Billions of Dollars, Not Adjusted for Inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,federal,summary,data_table,,,Annual Deficit / Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,federal,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Revenue,,518946872,607188009,621882747,609704629,672070418,739119402,773882284,860753770,914218578,996174324,1037870377,1061436469,1097640045,1161648845,1266104830,1366490000,1461543000,1599711000,1739427000,1837859000,2035813000,2005622000,1865806000,1795989000,1895221000,2170474000,2425762000,2600783000,2557455000,2142059000,2183895000,2328751000,2486917000,2804500000,3047497000,3301773000
5,federal,,row,Annual Deficit / Surplus,Annual Deficit / Surplus,Total Spending,,592776596,686156141,749859637,817506768,857437758,951426993,995109127,1010483282,1069396532,1148813278,1258906091,1330674210,1387960688,1416699862,1469291048,1530442000,1568974000,1621595000,1670157000,1712249000,1799572000,1877386000,2023564000,2173574000,2307948000,2488820000,2673943000,2761484000,3016008000,3554747000,3478268000,3628341000,3573880000,3484044000,3532124000,3740179000
6,federal,,total_row,Annual Deficit / Surplus,Annual Deficit / Surplus,Net Balance,,-73829724,-78968132,-127976890,-207802139,-185367340,-212307591,-221226843,-149729512,-155177954,-152638954,-221035714,-269237741,-290320643,-255051017,-203186218,-163952000,-107431000,-21884000,69270000,125610000,236241000,128236000,-157758000,-377585000,-412727000,-318346000,-248181000,-160701000,-458553000,-1412688000,-1294373000,-1299590000,-1086963000,-679544000,-484627000,-438406000
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,federal,expandable,data_table,,,Spending By Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,federal,,total_row,Spending By Mission,Spending By Mission,Direct Expenditures (Non-Grants),,501391393,591452458,661725262,725059119,759885220,845575086,882778197,902083455,954054988,1026885041,1123581148,1176155564,1209895266,1223087753,1258694866,1305451000,1341163000,1387435000,1424029000,1444363000,1513698000,1558844000,1670669000,1785032000,1900436000,2060802000,2239844000,2317687000,2554691000,3016756000,2869878000,3021575000,3029311000,2937873000,2955157000,3115825000
10,federal,,row,Spending By Mission,Spending By Mission,Establish Justice and Ensure Domestic Tranquility,,6917101,7133368,5496214,5964405,6680784,7138859,7661165,7825617,8969668,10121750,12314347,12960174,15299353,16379501,16901362,18731000,18874000,19879000,19182000,21849000,22426000,23323000,27607000,30956000,38981000,35611000,63171000,40284000,39622000,46407000,44311000,43183000,45163000,55174000,43978000,44636000
11,federal,,row,Spending By Mission,Establish Justice and Ensure Domestic Tranquility,Crime and Disaster,,4958436,5026744,3432551,3823995,4435764,4819522,5317853,5288909,6300984,7074842,9162348,9830138,11964359,13283307,13520188,15128000,15629000,16652000,16712000,19147000,19505000,20441000,24503000,27451000,35440000,32381000,59723000,36048000,35166000,40114000,37191000,37297000,38800000,49411000,37801000,37499000
12,federal,,row,Spending By Mission,Crime and Disaster,Law Enforcement and Corrections,,1949721,2124302,2130865,2384343,2708787,2969315,3042038,3284776,3904564,4341198,4858420,5731719,6873806,7065082,7322033,7742000,8468000,9307000,9823000,10868000,11871000,11534000,14697000,15558000,23453000,17939000,17589000,17385000,20059000,19497000,20879000,22030000,21364000,20101000,19067000,20321000
13,federal,,row,Spending By Mission,Law Enforcement and Corrections,Law Enforcement,,1606225,1761160,1764314,1964136,2207029,2427198,2421346,2564075,2966384,3289739,3561389,4124863,4751538,4930167,4998596,4993000,5455000,6368000,7141000,7664000,8164000,7328000,9951000,10978000,18703000,13094000,12537000,12213000,14404000,13488000,14552000,15484000,14611000,13340000,12316000,13272000
14,federal,,row,Spending By Mission,Law Enforcement and Corrections,Corrections,,343496,363142,366551,420207,501758,542117,620692,720701,938180,1051459,1297031,1606856,2122268,2134915,2323437,2749000,3013000,2939000,2682000,3204000,3707000,4206000,4746000,4580000,4750000,4845000,5052000,5172000,5655000,6009000,6327000,6546000,6753000,6761000,6751000,7049000
15,federal,,row,Spending By Mission,Crime and Disaster,Justice System,,1346920,1491332,1516922,1627393,1824786,2064475,2158502,2434204,2799575,3091863,3389904,4072217,4842839,5131516,5245441,5879000,5904000,6148000,6497000,7122000,7468000,8091000,8912000,9647000,10175000,10327000,10825000,11711000,12567000,12975000,14051000,14562000,15703000,14126000,13746000,14110000
16,federal,,row,Spending By Mission,Crime and Disaster,Disaster Relief (net of insurance premiums),,1661795,1411110,-215236,-187741,-97809,-214268,117313,-430071,-403155,-358219,914024,26202,247714,1086709,952714,1507000,1257000,1197000,392000,1157000,166000,816000,894000,2246000,1812000,4115000,31309000,6952000,2540000,7642000,2261000,705000,1733000,15184000,4988000,3068000
17,federal,,row,Spending By Mission,Establish Justice and Ensure Domestic Tranquility,Safeguarding Consumers and Employees,,1626416,1717261,1746586,1749609,1824386,1948900,1958647,2044006,2157626,2468697,2543879,2467736,2733280,2507029,2720996,2885000,2513000,2713000,2547000,2733000,2843000,3133000,3211000,3482000,3467000,3243000,3304000,3966000,4236000,6047000,6525000,5255000,5815000,5278000,5561000,6556000
18,federal,,row,Spending By Mission,Safeguarding Consumers and Employees,Consumer Protection,,717821,736935,747735,780363,822081,881852,870218,901402,977638,1048454,1101564,1229030,1335881,1344636,1385536,1502000,1440000,1422000,1201000,1299000,1167000,1399000,1314000,1610000,1469000,1350000,1268000,1684000,1968000,3463000,3164000,3008000,3467000,3098000,3651000,4168000
19,federal,,row,Spending By Mission,Safeguarding Consumers and Employees,Employee Protection,,728937,790984,774212,785102,809924,844408,831242,826326,916897,957746,1013700,948268,1074924,1075993,1102305,1107000,1060000,1144000,1190000,1240000,1359000,1471000,1609000,1678000,1754000,1811000,1843000,1846000,1904000,1915000,2040000,2164000,2162000,2184000,2114000,2115000
20,federal,,row,Spending By Mission,Safeguarding Consumers and Employees,Patents and Copyrights,,111142,119218,156633,118680,126517,157373,195173,250211,167670,354162,331638,186428,207834,-18601,129535,206000,-64000,81000,111000,139000,249000,169000,140000,34000,100000,-41000,64000,320000,205000,396000,1082000,-166000,-56000,-254000,-475000,40000
21,federal,,row,Spending By Mission,Safeguarding Consumers and Employees,Other Business Regulation,,68516,70124,68006,65464,65864,65267,62014,66067,95421,108335,96977,104010,114641,105001,103620,70000,77000,66000,45000,55000,68000,94000,148000,160000,144000,123000,129000,116000,159000,273000,239000,249000,242000,250000,271000,233000
22,federal,,row,Spending By Mission,Establish Justice and Ensure Domestic Tranquility,Child Safety and Miscellaneous Social Services,,332249,389363,317077,390801,420634,370437,384665,492702,511058,578211,608120,662300,601714,589165,660178,718000,732000,514000,-77000,-31000,78000,-251000,-107000,23000,74000,-13000,144000,270000,220000,246000,595000,631000,548000,485000,616000,581000
23,federal,,row,Spending By Mission,Spending By Mission,Provide for the Common Defense,,168571621,194400505,222423450,247554223,269902036,296212911,314945187,321789665,332164297,344451433,343101182,321823850,349937694,345611954,337854378,327698000,317866000,326998000,326063000,336432000,362035000,369677000,426928000,488105000,548848000,606411000,628161000,660571000,740148000,808463000,860670000,892003000,863054000,831329000,811964000,809837000
24,federal,,row,Spending By Mission,Provide for the Common Defense,National Defense and Support for Veterans,,154981105,180336306,209116335,234574167,252824275,278745989,299420554,308436321,319432695,333177369,327979751,304234726,331901297,326384371,318830505,309604000,302400000,309508000,309635000,317606000,340916000,349254000,398906000,461289000,515066000,564860000,591004000,623437000,700023000,755632000,801033000,831747000,801366000,771297000,751850000,747481000
25,federal,,row,Spending By Mission,National Defense and Support for Veterans,National Defense,,133902806,157437840,185240799,209816568,227315228,252586131,273196405,281802417,290172075,303301507,299079753,273100629,298027802,290932181,281470450,271995000,265710000,270502000,268182000,274768000,294361000,304685000,348365000,404733000,455813000,495292000,521818000,551258000,616065000,661012000,693485000,705554000,677852000,633446000,603457000,589564000
26,federal,,row,Spending By Mission,National Defense and Support for Veterans,Support for Veterans,,21078299,22898466,23875536,24757599,25509047,26159858,26224149,26633904,29260620,29875862,28899998,31134097,33873495,35452190,37360055,37609000,36690000,39006000,41453000,42838000,46555000,44569000,50541000,56556000,59253000,69568000,69186000,72179000,83958000,94620000,107548000,126193000,123514000,137851000,148393000,157917000
27,federal,,row,Spending By Mission,Support for Veterans,Veterans Pension and Disability Benefits,,11700182,12921119,13722931,14263302,14412051,14728405,15047209,14978316,15979720,16561994,15260684,16980707,17317559,17780614,19638210,18993000,18228000,20435000,21350000,22184000,24907000,22498000,26720000,29091000,30849000,35767000,35771000,35684000,41338000,45952000,49163000,58747000,55899000,65890000,70906000,76360000
28,federal,,row,Spending By Mission,Support for Veterans,Veterans Medical Care,,6423098,6890772,7454720,8207541,8795347,9455720,9784349,10171825,10735386,11217949,12002648,12750674,13936184,14626950,15479397,16178000,16322000,16822000,17260000,17855000,19094000,20571000,21930000,23679000,26405000,28223000,29300000,31681000,36310000,41103000,44914000,49116000,49535000,51512000,55043000,60131000
29,federal,,row,Spending By Mission,Support for Veterans,Veterans Housing (net of loan repayments),,-3835,216723,119681,16876,257267,229652,128141,344474,1305185,891942,530044,99815,917139,1313879,211502,344000,80000,-327000,853000,580000,364000,-904000,-1006000,505000,-1982000,860000,-1242000,-868000,-419000,-578000,540000,1262000,1413000,1328000,2143000,743000
30,federal,,row,Spending By Mission,Support for Veterans,Veterans Readjustment Benefits,,2309735,2225844,1916709,1598064,1332936,1028616,496098,423961,424241,426383,245029,392764,745879,788334,1075369,1082000,1073000,1113000,1058000,1222000,1285000,1193000,1726000,2106000,2562000,2790000,2638000,2713000,2730000,3495000,8089000,10683000,10402000,12893000,13506000,13383000
31,federal,,row,Spending By Mission,Support for Veterans,Other Veterans Services,,649119,644008,661495,671816,711446,717465,768352,715328,816088,777594,861593,910137,956734,942413,955577,1012000,987000,963000,932000,997000,905000,1211000,1171000,1175000,1419000,1928000,2719000,2969000,3999000,4648000,4842000,6385000,6265000,6228000,6795000,7300000
32,federal,,row,Spending By Mission,Provide for the Common Defense,Foreign Affairs and Foreign Aid,,12713963,13104204,12299579,11847552,15868975,16169296,14145803,11644938,10465812,9583322,13758498,15846157,16090130,17218058,17067433,16429000,13487000,15173000,13047000,15204000,17222000,16463000,22300000,21173000,26908000,34578000,29513000,28470000,28855000,37532000,45210000,45668000,47168000,46208000,46732000,48503000
33,federal,,row,Spending By Mission,Foreign Affairs and Foreign Aid,International Development and Humanitarian Assistance,,3625760,4130841,3772481,3955152,4478229,5408412,4966772,4319164,4703138,4836033,5497574,5140663,6131674,5824988,7047935,7598000,6160000,6003000,5395000,5653000,6516000,7185000,7811000,10324000,13807000,17696000,16693000,15524000,14074000,22095000,19014000,21255000,21882000,22551000,23534000,24087000
34,federal,,row,Spending By Mission,Foreign Affairs and Foreign Aid,International Security Assistance,,4763123,5095148,5415882,6612800,7923974,9390685,10499135,7106397,4499936,1466908,8652217,9823009,7490443,7639174,6642325,5252000,4565000,4632000,5135000,5531000,6387000,6560000,7907000,8620000,8369000,7895000,7811000,7982000,9480000,6247000,11363000,12042000,11464000,9954000,11381000,12907000
