order,government_type,style,type,data_table,parent,footnote,name,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015
1,federal,expandable,data_table,,,,Medicare Trust Funds (HI),,,,,,,,,,
2,federal,,row,1,1,,Total cash income,25415,79563,159681,198472,222641,231761,248744,254162,271198,277213
3,federal,,row,1,2,,Social insurance and retirement receipts,23217,68556,135529,166068,180068,188490,201143,209270,224107,234189
4,federal,,row,1,2,,Total intragovernmental receipts,2182,10894,22612,28199,33820,34022,36247,29267,34298,34052
5,federal,,row,1,4,1,"Employer share, employee retirement",249,2153,2630,3302,4042,4025,4093,4178,4052,4073
6,federal,,row,1,4,,Interest,1061,7943,10470,15155,14604,12902,11297,9917,8960,8624
7,federal,,row,1,4,,Federal Payment (OASDI taxes),..........,..........,8787,8765,13760,15143,18643,14310,18066,20208
8,federal,,row,1,4,,Other,871,798,725,977,1414,1952,2214,862,3220,1147
9,federal,,row,1,2,,Total other (mainly proprietary) receipts,17,113,1540,4205,8753,9249,11354,15625,12793,8972
10,federal,,row,1,9,,Premium income,17,113,1392,2303,3503,3495,3634,3657,3537,3598
11,federal,,row,1,9,2,Other,*,*,148,1902,5250,5754,7720,11968,9256,5374
12,federal,,row,1,1,,Total cash outgo,24288,66687,130030,185703,253634,264828,265205,277190,275149,283509
13,federal,,row,1,12,3,Benefit payments,23793,65722,127698,182523,249943,260629,261237,272632,270527,277756
14,federal,,row,1,12,,Administrative expenses,486,774,1262,1769,2218,2575,2143,2596,2777,3610
15,federal,,row,1,12,,Payments to the Patient-Centered Outcomes Research Trust Fund,..........,..........,..........,..........,..........,..........,..........,25,49,55
16,federal,,row,1,12,3,Other,8,190,1070,1411,1473,1624,1825,1937,1796,2088
17,federal,,row,1,1,,Surplus or deficit (-),1127,12876,29651,12769,-30993,-33067,-16461,-23028,-3951,-6296
18,federal,,row,1,17,,Adjustment to balances,..........,..........,..........,..........,22,..........,100,5,-1,-2
19,federal,,row,1,1,,"Fund balance, end of year",14490,95631,168072,277670,278865,245698,229337,206314,202362,196064
20,federal,,row,1,19,,Invested balance,14656,96249,168859,277268,278221,245939,228292,206010,202207,195458
21,federal,,row,1,19,,Uninvested balance,-166,-617,-787,402,644,-241,1045,304,155,606
22,federal,expandable,data_table,,,,Supplementary Medical Insurance Fund (SMI),,,,,,,,,,
23,federal,,row,22,22,,Total cash income,10275,45607,89240,153499,282576,301316,290630,312100,332522,354731
24,federal,,row,22,23,6,Individual Income Taxes,n/a,-527,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25,federal,,row,22,23,,Excise Taxes,n/a,n/a,n/a,n/a,n/a,1876,2808,3216,3209,2991
26,federal,,row,22,23,,Intragovernmental Receipts,7347,34637,68721,116565,216708,228410,213456,229726,246812,265967
27,federal,,row,22,26,6,Interest,416,1427,3160,1364,2998,3231,2947,2518,2460,2482
28,federal,,row,22,26,,Federal Contributions and other,6932,33210,65561,115201,213710,225179,210509,227208,244352,263485
29,federal,,row,22,23,,Premium income,2928,11494,20515,35940,61804,66391,69376,73906,77465,80089
30,federal,,row,22,29,,From aged participants,2637,10499,17961,30394,45832,47277,48297,51679,54415,56997
31,federal,,row,22,29,,For prescription drugs,n/a,n/a,n/a,n/a,2363,2631,2955,3224,3564,3815
32,federal,,row,22,29,,From States and other participants,291,995,2554,5546,13609,16483,18124,19003,19486,19277
33,federal,,row,22,23,4,Other,*,3,4,994,4064,4639,4990,5252,5036,5684
34,federal,,row,22,22,,Total cash outgo,10746,43022,88992,153727,272006,300512,291682,314011,331012,356937
35,federal,,row,22,34,5,Benefit payments,10144,41450,87169,150903,268889,297333,288074,310634,327293,354091
36,federal,,row,22,34,6,Administrative expenses,594,1524,1780,2745,3061,3127,3528,3252,3552,2659
37,federal,,row,22,34,,Payments to the Patient-Centered Outcomes Research Trust Fund,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27,58,62
38,federal,,row,22,34,5,Other,8,47,43,79,56,52,80,98,109,125
39,federal,,row,22,22,,Surplus or deficit (-),-471,2585,248,-228,10570,804,-1052,-1911,1510,-2206
40,federal,,row,22,39,,Adjustment to balances,n/a,n/a,n/a,-2,n/a,-1,n/a,1,n/a,n/a
41,federal,,row,22,22,,"Fund balance, end of year",4539,14527,45896,16885,71977,72780,71728,69818,71328,69122
42,federal,,row,22,41,,Invested balance,4558,14286,45075,17202,70982,70446,69324,67385,68391,66128
43,federal,,row,22,41,,Uninvested balance,-19,241,821,-317,995,2334,2404,2433,2937,2994
44,federal,expandable,data_table,,,,Old Age and Survivors Insurance Fund (OASI),,,,,,,,,,
45,federal,,row,44,44,,Total cash income,100051,279599,484259,600069,682470,692650,729014,739700,763308,795316
46,federal,,row,44,45,,Social insurance and retirement receipts,96581,255031,411677,493646,539996,483683,486783,575555,628792,658543
47,federal,,row,44,45,,Intragovernmental receipts,3470,24568,72564,106407,142457,208947,242208,164121,134477,136762
48,federal,,row,44,47,,"Employer share, employee retirement",1027,5038,6542,9352,12765,12908,13331,13820,13452,13684
49,federal,,row,44,47,,Interest,1886,15125,53531,81708,108601,107413,105239,100113,96270,93235
50,federal,,row,44,47,,Other,557,4405,12491,15347,21091,88626,123638,50188,24755,29843
51,federal,,row,44,45,,Other cash income,*,*,18,16,17,20,23,24,39,11
52,federal,,row,44,44,,Total cash outgo,103227,224475,353427,436830,579928,599372,634732,670586,705928,741461
53,federal,,row,44,52,,Benefit payments1,100615,218957,347894,430375,572528,591490,627221,663213,698235,733713
54,federal,,row,44,52,,Payments to the railroad retirement account,1442,2969,3538,3579,3930,4110,4139,3948,4257,4258
55,federal,,row,44,52,,Interest payments,..........,982,..........,..........,..........,..........,..........,..........,..........,..........
56,federal,,row,44,52,,Administrative expenses,1160,1566,1995,2874,3467,3657,3370,3421,3434,3506
57,federal,,row,44,52,,Military service credit adjustment,..........,..........,..........,..........,..........,113,..........,..........,..........,..........
58,federal,,row,44,52,"1,2",Beneficiary services and other,10,*,..........,2,3,2,2,4,2,-16
59,federal,,row,44,44,,Surplus or deficit (-),-3176,55125,130832,163239,102542,93278,94282,69114,57380,53855
60,federal,,row,44,59,,Adjustment to balances,..........,..........,..........,..........,-102,..........,..........,-2,-1,..........
61,federal,,row,44,44,,"Fund balance, end of year",24578,203445,893208,1615876,2398648,2491926,2586208,2655320,2712699,2766554
62,federal,,row,44,61,,Invested balance,23577,203717,893519,1616159,2399111,2492531,2586697,2655599,2712805,2766649
63,federal,,row,44,61,,Uninvested balance,1000,-271,-311,-283,-463,-605,-489,-279,-106,-95
64,federal,expandable,data_table,,,,Disability Insurance Fund (DI),,,,,,,,,,
65,federal,,row,64,64,,Total cash income,17388,28322,77062,96764,105591,106308,108931,111353,114188,118036
66,federal,,row,64,65,,Social insurance and retirement receipts,16628,26625,68907,83830,91691,82105,82718,97719,106773,111829
67,federal,,row,64,65,,Total intragovernmental receipts,760,1697,8121,12887,13824,24126,26131,13547,7331,6136
68,federal,,row,64,67,,"Employer share, employee retirement",177,529,1095,1589,2171,2191,2261,2348,2285,2324
69,federal,,row,64,67,,Interest ,454,866,6265,10128,9901,8568,7154,5537,3996,2733
70,federal,,row,64,67,,Other,129,302,761,1170,1752,13367,16716,5662,1050,1079
71,federal,,row,64,65,,Other cash income,*,*,34,47,76,77,82,87,84,71
72,federal,,row,64,64,,Total cash outgo,15332,25230,56046,86468,126423,131571,138632,142847,144640,146306
73,federal,,row,64,72,1,Benefit payments,14899,24306,54210,83765,122931,128005,135126,139428,141291,142846
74,federal,,row,64,72,,Payments to the railroad retirement account,..........,80,159,338,462,465,512,551,444,419
75,federal,,row,64,72,,Administrative expenses,334,707,1611,2316,2923,3009,2896,2741,2776,2881
