order,government_type,style,type,data_table,parent,name,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,,,,,,Pensions Balance Sheet,,"Millions of dollars; amounts oustanding end of period, not adjusted for inflation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,expandable,data_table,,,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,combined,,row,Assets,Assets,Total Pension Assets,1,161275,180423,195243,244021,257462,292973,345606,413121,427939,507496,561166,611546,689300,774309,817773,999157,1196277,1451984,1748752,1978075,2170532,2068992,1961346,1920602,2307479,2451712,2721154,3066821,2908362,2183437,2397255,2745587,2674262,2945046,3304237,3452388,3393145
4,combined,,row,Assets,Total Pension Assets,Federal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,20078,21932,23586,23817,25446,19745,15830,15141,13916,14727,15027,15100,13959,13689
5,combined,,row,Assets,Total Pension Assets,State & Local,,178857,204954,227660,287693,316639,370163,444113,542624,570879,659160,729467,790299,867259,985687,1038414,1216378,1417344,1666891,1961962,2191865,2365418,2252120,2113786,2061814,2420490,2592754,2843331,3199602,3020405,2306243,2526892,2889689,2830708,3108753,3478466,3616402,3561700
6,combined,,row,Assets,Total Pension Assets,Intergovernmental Pension Holdings (Treasury Securities),,-17582,-24531,-32417,-43672,-59177,-77190,-98507,-129503,-142940,-151664,-168301,-178753,-177959,-211378,-220641,-217221,-221067,-214907,-213210,-213790,-194886,-183128,-153870,-161290,-134943,-164628,-145994,-158227,-131788,-138636,-144778,-158018,-171173,-178734,-189329,-177973,-182244
7,,expandable,data_table,,,Liabilities & Net Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,combined,,row,Liabilities & Net Worth,Liabilities & Net Worth,Total Pension Liabilities,2,907724,976711,1060403,1143926,1229524,1324100,1434144,1543092,1648742,1802814,1972105,2111553,2325089,2539715,2696230,2870231,3046374,3212058,3393303,3599261,3819879,4062887,4318816,4598312,4967807,5348944,5663796,5970292,6244655,6539159,7023631,7461708,7740992,8135843,8330784,8872909,9034043
9,combined,,row,Liabilities & Net Worth,Total Pension Liabilities,Federal,,637898,683010,730790,779902,832753,889935,956435,1018958,1080166,1143803,1208167,1274449,1344641,1412385,1479503,1547003,1613766,1680871,1749772,1820453,1892569,1966716,2041703,2141340,2224094,2309605,2392263,2474823,2552284,2661621,2840133,2955410,3044316,3247938,3221313,3509985,3404205
10,combined,,row,Liabilities & Net Worth,Total Pension Liabilities,State & Local,,269826,293701,329613,364024,396771,434165,477709,524134,568576,659011,763938,837104,980448,1127330,1216727,1323228,1432608,1531187,1643531,1778808,1927310,2096171,2277113,2456972,2743713,3039339,3271533,3495469,3692371,3877538,4183498,4506298,4696676,4887905,5109471,5362924,5629838
11,combined,,row,Liabilities & Net Worth,Liabilities & Net Worth,Total Pension Net Worth,,-728867,-771757,-832743,-856233,-912885,-953937,-990031,-1000468,-1077863,-1143654,-1242638,-1321254,-1457830,-1554028,-1657816,-1653853,-1629030,-1545167,-1431341,-1407396,-1454461,-1810767,-2203600,-2516420,-2525385,-2732604,-2796648,-2745244,-3204505,-4217086,-4481598,-4558103,-4895557,-5012063,-4837218,-5242548,-5458654
12,combined,,row,Liabilities & Net Worth,Total Pension Net Worth,Federal,,-637898,-683010,-730790,-779902,-832753,-889935,-956435,-1018958,-1080166,-1143803,-1208167,-1274449,-1344641,-1412385,-1479503,-1547003,-1613766,-1680871,-1749772,-1820453,-1892569,-1966716,-2040273,-2121262,-2202162,-2286019,-2368446,-2449377,-2532539,-2645791,-2824992,-2941494,-3029589,-3232911,-3206213,-3496026,-3390516
13,combined,,row,Liabilities & Net Worth,Total Pension Net Worth,State & Local,,-90969,-88747,-101953,-76331,-80132,-64002,-33596,18490,2303,149,-34471,-46805,-113189,-141643,-178313,-106850,-15264,135704,318431,413057,438108,155949,-163327,-395158,-323223,-446585,-428202,-295867,-671966,-1571295,-1656606,-1616609,-1865968,-1779152,-1631005,-1746522,-2068138
14,combined,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Discrepancy,3,-17582,-24531,-32417,-43672,-59177,-77190,-98507,-129503,-142940,-151664,-168301,-178753,-177959,-211378,-220641,-217221,-221067,-214907,-213210,-213790,-194886,-183128,-153870,-161290,-134943,-164628,-145994,-158227,-131788,-138636,-144778,-158018,-171173,-178734,-189329,-177973,-182244
15,combined,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Assets minus liabilities,,-746449,-796288,-865160,-899905,-972062,-1031127,-1088538,-1129971,-1220803,-1295318,-1410939,-1500007,-1635789,-1765406,-1878457,-1871074,-1850097,-1760074,-1644551,-1621186,-1649347,-1993895,-2357470,-2677710,-2660328,-2897232,-2942642,-2903471,-3336293,-4355722,-4626376,-4716121,-5066730,-5190797,-5026547,-5420521,-5640898
16,combined,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Net Worth,,1643117,1882697,1974530,1873830,1823081,1803310,1759618,1812071,1818027,1859671,1916117,1837599,1660050,1551676,1545064,1685649,1774638,2061094,2390356,2910964,3510763,3877643,3859685,3614200,2827986,3302734,3954545,4738391,4700081,3577031,2360940,1645127,1127506,891512,755633,830171,329820
17,combined,,row,Liabilities & Net Worth,Net Worth,Federal,,304316,328953,291664,152997,47425,-76604,-248809,-348645,-451498,-534350,-627220,-788679,-1020823,-1250099,-1400129,-1504661,-1608979,-1555864,-1461006,-1258284,-989576,-851383,-991999,-1377104,-1700839,-1891578,-1968209,-2071138,-2469610,-3793363,-5071148,-6238224,-7244458,-7794731,-8355827,-8524615,-9281731
18,combined,,row,Liabilities & Net Worth,Net Worth,State & Local,,1338801,1553744,1682866,1720833,1775656,1879914,2008427,2160716,2269525,2394021,2543337,2626278,2680873,2801775,2945193,3190310,3383617,3616958,3851362,4169248,4500339,4729026,4851684,4991304,4528825,5194312,5922754,6809529,7169691,7370394,7432088,7883351,8371964,8686243,9111460,9354786,9611551
19,,,footnotes,,,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,footnote,,Footnotes,1  includes federal and state/local defined benefit pension plans,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,footnote,,Footnotes,2. includes federal and state/local defined benefit pension plans + unfunded portion of Thrift Savings Plan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,footnote,,Footnotes,3 Discrepancy between Net Worth and Assets minus liabilities is due to the fact that federal pensions are counted as 3rd quarter but state and local is counted as 2nd quarter.  This calculation is done to match the reporting periods for federal government P&L (OMB) and aggregate state and local P&L (census),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
